NFS4-PSX matching-decomp -- per-function match progress
(objdiff fuzzy_match_percent; VA from configs/symbol_addrs.txt)
TOTAL: 218 functions, 212 at 100% (97.2%)
==================================================================================
VA             %match  unit                     function
----------------------------------------------------------------------------------
0x8005797C    100.00%  main                     AI_StartUp__Fv
0x80057984    100.00%  main                     AI_CleanUp__Fv
0x8005798C    100.00%  main                     AI_Main_OverallSetup__Fv
0x8005CEE0    100.00%  main                     FalseArrest__14AIHigh_BTC_CopP15AIHigh_BTC_Perp
0x8005CEFC    100.00%  main                     FreezeAndEndChase__14AIHigh_BTC_Cop
0x80066BB0    100.00%  game/common/aiinit       AIInit_StartUp1__Fv
0x80066C24    100.00%  game/common/aiinit       AIInit_StartUp2__Fv
0x80066CFC    100.00%  game/common/aiinit       AIInit_Reset1__Fv
0x80066D08    100.00%  game/common/aiinit       AIInit_Reset2__Fv
0x80066E0C    100.00%  game/common/aiinit       AIInit_CleanUp1__Fv
0x80066E44    100.00%  game/common/aiinit       AIInit_CleanUp2__Fv
0x80066F0C    100.00%  game/common/aiinit       AI_TrafficStartUp__Fv
0x80066FA8    100.00%  game/common/aiinit       AI_TrafficCleanUp__Fv
0x80066FF8    100.00%  game/common/aiinit       AIInit_LoadConfigs__Fv
0x80067054    100.00%  game/common/aiinit       AIInit_LoadPhysicsConfig__FP10Udff_tInfo
0x80067174    100.00%  game/common/aiinit       AIInit_ClearAICar__FP8Car_tObj
0x800671EC    100.00%  game/common/aiinit       AIInit_RestartAICar__FP8Car_tObj
0x80067314    100.00%  game/common/aiinit       AIInit_InitAICar__FP8Car_tObjP10Udff_tInfo
0x800674E8    100.00%  game/common/aiinit       AIInit_DeInitAICar__FP8Car_tObj
0x80067568    100.00%  game/common/aiinit       AIInit_InitAICar2__FP8Car_tObj
0x800675D0    100.00%  game/common/aiinit       AIInit_DeInitAICar2__FP8Car_tObj
0x800675D8    100.00%  game/common/aiinit       AIInit_IsNonStandardCarFile__Fi
0x800689D0    100.00%  main                     AILife_Debug__FPce
0x800689E8    100.00%  game/common/aiperson     AIPerson_LoadGridAndSetPersonalityIndexes__Fv
0x80068A34    100.00%  game/common/aiperson     AIPerson_SetPersonality__FP8Car_tObji
0x80068AFC    100.00%  game/common/aiperson     AIPerson_SetPersonalityPointers__Fv
0x80068B60     96.32%  game/common/aiperson     AIPerson_LoadPersonalityData__FP10Udff_tInfo
0x80068EA4    100.00%  game/common/aiperson     AIPerson_LoadScriptData__FP10Udff_tInfo
0x80068F80    100.00%  game/common/aiperson     AIPerson_LoadGlue__FP10Udff_tInfo
0x8006908C    100.00%  game/common/aiperson     AIPerson_Startup__Fv
0x80069230    100.00%  main                     AIPerson_Cleanup__Fv
0x80069230    100.00%  game/common/aiperson     AIPerson_Cleanup__Fv
0x8006CC3C    100.00%  main                     AIPhysic_StartUp__Fv
0x8006CC44    100.00%  main                     AIPhysic_CleanUp__Fv
0x8006CC4C    100.00%  main                     AIPhysic_Reset__Fv
0x8006CE24    100.00%  game/common/aidatarecord __14AIDataRecord_t26AIDataRecord_WhichRecord_tPc
0x8006CE6C    100.00%  game/common/aidatarecord ___14AIDataRecord_t
0x8006CEC4    100.00%  game/common/aidatarecord AddRecordToCollection__14AIDataRecord_t
