function	class	group	repr_region	region_va	words	unit	candidate
AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8006FEF8	8	game/common/aiscript	regiondiff/recon/NFS4-R-USA/game/common/aiscript.cpp
AIState_Restart__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800701FC	16	game/common/aistate	regiondiff/recon/NFS4-R-USA/game/common/aistate.cpp
AIState_StartUp__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800701BC	16	game/common/aistate	regiondiff/recon/NFS4-R-USA/game/common/aistate.cpp
AdjustPosition__16tListIteratorCar7tPlayers	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80017BE4	380	frontend/common/fecars	regiondiff/recon/NFS4-R-USA/frontend/common/fecars.cpp
AllocatePrimitivesBuffer__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BEC4C	39	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800754C8	96	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007571C	85	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
AudioClc_SoundCars__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80076B90	180	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
func_8007593C	REGION-ONLY	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007593C	61	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
AudioClc_SoundCloseCar__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80075A30	318	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
AudioCmn_LoadAsyncSfx__FiiPvi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80077174	99	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_MusicLevel__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80076E60	14	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_PlayDoppleredSound__Fiiiiii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80078AF8	153	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_PlaySFX__Fiiiiii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80078D88	343	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_Reset__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800775EC	196	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_SoundCar__FP8Car_tObjiiiiiii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800792E4	540	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_TrafficSFX__Fiiiiiiii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80079B54	177	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_UnPause__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007A6A0	28	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioEng_Set__Fiiiiiiii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007BF3C	164	game/common/audioeng	regiondiff/recon/NFS4-R-USA/game/common/audioeng.cpp
AudioMus_Fail__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AC48	39	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_QueueRequestedSong__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007ACE4	40	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_Server__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AE4C	242	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
Audio_InitDriver__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BC958	61	game/psx/audio	regiondiff/recon/NFS4-R-USA/game/psx/audio.cpp
BWorld_Init__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007EFEC	187	game/common/bworld	regiondiff/recon/NFS4-R-USA/game/common/bworld.cpp
BWorld_OpenContext__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007EEA8	56	game/common/bworld	regiondiff/recon/NFS4-R-USA/game/common/bworld.cpp
CD_Read	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800FB028	162	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CD_get_intr	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80107A2C	266	syslib/psx/libcd/drv	regiondiff/recon/NFS4-R-USA/syslib/psx/libcd/drv.c
CD_systaskfunc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800FA444	108	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CD_timerfunc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800FA5F4	24	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CalculateDimensions__11tDialogHelp	CHANGED	JPN	JPN	80018B18	350	frontend/common/fedialog	regiondiff/recon/NFS4-R-JPN/frontend/common/fedialog.cpp
Camera_GetViewInfo__FiP17DRender_tCalcViewi	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80085A2C	206	game/common/camera	regiondiff/recon/NFS4-R-AU/game/common/camera.cpp
CarIO_ReadInCarTextureData__FPcP8Car_tObjii	CHANGED	JPN	JPN	800BD2A0	494	game/psx/cario	regiondiff/recon/NFS4-R-JPN/game/psx/cario.cpp
CarIO_UpdateCarTextureData__FPcP8Car_tObji	CHANGED	JPN	JPN	800BDA58	304	game/psx/cario	regiondiff/recon/NFS4-R-JPN/game/psx/cario.cpp
Car_DoPostCollisionStuff__FP8Car_tObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8008A300	180	game/common/cars	regiondiff/recon/NFS4-R-USA/game/common/cars.cpp
CdReadyHandler	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800FA654	300	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
Cleanup__14tScreenMemcard	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80048230	36	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
Cleanup__16tScreenPinkSlips	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80039580	31	frontend/common/screenpinkslips	regiondiff/recon/NFS4-R-USA/frontend/common/screenpinkslips.cpp
Confirm__Fii	CHANGED	JPN	JPN	80034188	109	frontend/common/fememcard	regiondiff/recon/NFS4-R-JPN/frontend/common/fememcard.cpp
CopSpeak_Alloc__FP17CopSpeak_tRequest	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A168	32	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_DirectRequest__FillP8Car_tObjPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A790	49	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_Free__FP17CopSpeak_tRequest	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A1E8	45	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_GenericBankRequest__FiP8Car_tObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A854	47	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_InitRequest__FP17CopSpeak_tRequest	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A0D0	13	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_InitVars__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A710	32	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_LoadNextRequest__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009B21C	135	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_PlayNextRequest__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009B438	81	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_ReadyNextRequest__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009A29C	176	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_Request__FP17CopSpeak_tRequest	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009B09C	84	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
DeInit_Memcard__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80034938	42	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Device_VerifyType__Fi	CHANGED	JPN	JPN	800BDF80	47	game/psx/device	regiondiff/recon/NFS4-R-JPN/game/psx/device.cpp
DoLanguageScreen__Fv	CHANGED	FR-DE	FR-DE	8004E238	183	frontend/psx/psxfront	regiondiff/recon/NFS4-R-FR-DE/frontend/psx/psxfront.cpp
DoLanguageScreen__Fv	CHANGED	UK-ES-IT	UK-ES-IT	8004E250	193	frontend/psx/psxfront	regiondiff/recon/NFS4-R-UK-ES-IT/frontend/psx/psxfront.cpp
DoLanguageScreen__Fv	CHANGED	UK-SW	UK-SW	8004E238	182	frontend/psx/psxfront	regiondiff/recon/NFS4-R-UK-SW/frontend/psx/psxfront.cpp
DoMemCardStuff__25tScreenPinkSlipsCarSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003F2C4	193	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DoTitleScreen__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8004E0C0	66	frontend/psx/psxfront	regiondiff/recon/NFS4-R-AU/frontend/psx/psxfront.cpp
DrawBackground__16tScreenPinkSlips	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80038D60	390	frontend/common/screenpinkslips	regiondiff/recon/NFS4-R-USA/frontend/common/screenpinkslips.cpp
DrawBackground__18tScreenTrackSelect	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800419D8	301	frontend/common/screentracks	regiondiff/recon/NFS4-R-AU/frontend/common/screentracks.cpp
DrawC_PrimHalo__FP10matrixtdefP8coorddefP16Transformer_zObjiiiP13Draw_CarCache	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800C47B4	301	game/psx/drawc	regiondiff/recon/NFS4-R-USA/game/psx/drawc.cpp
DrawCar__FR8tCarInfossffcbUl7tPlayer	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8003AC5C	125	frontend/common/screencarselect	regiondiff/recon/NFS4-R-AU/frontend/common/screencarselect.cpp
DrawCar__FR8tCarInfossffcbUl7tPlayer	CHANGED	JPN+USA	USA	8003AC64	125	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawCongratsMessage__23tScreenBeTheCopCongrats	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800499B0	48	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawCongratsMessage__23tScreenTournamentTrophy	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW+USA	USA	800493DC	185	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawCongratsMessage__23tScreenTournamentTrophy	CHANGED	JPN	JPN	80048E64	200	frontend/common/screencongrats	regiondiff/recon/NFS4-R-JPN/frontend/common/screencongrats.cpp
DrawForeground__14tScreenMemcard	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80047EC0	67	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
DrawForeground__16tScreenCarSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003CAE4	566	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawForeground__18tScreenTournSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800408A8	42	frontend/common/screentournselect	regiondiff/recon/NFS4-R-USA/frontend/common/screentournselect.cpp
DrawHelpIcons__14tFEApplication	CHANGED	JPN	JPN	8001348C	136	frontend/common/feapp	regiondiff/recon/NFS4-R-JPN/frontend/common/feapp.cpp
DrawOneRecord__19tScreenTrackRecordsibi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80042AE0	156	frontend/common/screentrackrecords	regiondiff/recon/NFS4-R-USA/frontend/common/screentrackrecords.cpp
DrawVideoWall__25tScreenCarSelectTwoPlayers	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003E4C0	104	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800C7C30	52	game/psx/draww	regiondiff/recon/NFS4-R-USA/game/psx/draww.cpp
DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800C7BC8	26	game/psx/draww	regiondiff/recon/NFS4-R-USA/game/psx/draww.cpp
Draw_CheckFirstFrameRender__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BEFB8	36	game/psx/draw	regiondiff/recon/NFS4-R-AU/game/psx/draw.cpp
Draw_DirectSetEnvironment__Fiiiiiiiiii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BF200	69	game/psx/draw	regiondiff/recon/NFS4-R-AU/game/psx/draw.cpp
Draw_InitRenderEngine__Fiiiiii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BF370	47	game/psx/draw	regiondiff/recon/NFS4-R-AU/game/psx/draw.cpp
