NFS4-PSX regional-variant reconstruction -- per-row progress
(gate: regiondiff/tools/verify_region.py; plan: MANIFEST.tsv)
TOTAL: 343 rows, 235 SEALED / 66 FAIL / 33 TODO / 0 ERROR / 9 N-A (data-blob or lib-thunk)
========================================================================================
status      words  region     unit                         function
SEALED          8  USA        game/common/aiscript         AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails
SEALED         16  USA        game/common/aistate          AIState_Restart__Fv
SEALED         16  USA        game/common/aistate          AIState_StartUp__Fv
SEALED        380  USA        frontend/common/fecars       AdjustPosition__16tListIteratorCar7tPlayers
SEALED         39  USA        game/psx/draw                AllocatePrimitivesBuffer__Fv
SEALED         96  USA        game/common/audioclc         AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef
SEALED         85  USA        game/common/audioclc         AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj
SEALED        180  USA        game/common/audioclc         AudioClc_SoundCars__Fv
SEALED         61  USA        game/common/audioclc         func_8007593C
SEALED        318  USA        game/common/audioclc         AudioClc_SoundCloseCar__Fii
SEALED         99  USA        game/common/audiocmn         AudioCmn_LoadAsyncSfx__FiiPvi
SEALED         14  USA        game/common/audiocmn         AudioCmn_MusicLevel__Fi
SEALED        153  USA        game/common/audiocmn         AudioCmn_PlayDoppleredSound__Fiiiiii
SEALED        343  USA        game/common/audiocmn         AudioCmn_PlaySFX__Fiiiiii
SEALED        196  USA        game/common/audiocmn         AudioCmn_Reset__Fv
SEALED        540  USA        game/common/audiocmn         AudioCmn_SoundCar__FP8Car_tObjiiiiiii
SEALED        177  USA        game/common/audiocmn         AudioCmn_TrafficSFX__Fiiiiiiii
SEALED         28  USA        game/common/audiocmn         AudioCmn_UnPause__Fv
SEALED        164  USA        game/common/audioeng         AudioEng_Set__Fiiiiiiii
SEALED         39  USA        game/common/audiomus         AudioMus_Fail__Fi
SEALED         40  USA        game/common/audiomus         AudioMus_QueueRequestedSong__Fv
SEALED        242  USA        game/common/audiomus         AudioMus_Server__Fii
SEALED         61  USA        game/psx/audio               Audio_InitDriver__Fii
SEALED        187  USA        game/common/bworld           BWorld_Init__Fv
SEALED         56  USA        game/common/bworld           BWorld_OpenContext__Fii
SEALED        162  USA        eaclib/psx/eacpsxz/cdfs      CD_Read
SEALED        266  USA        syslib/psx/libcd/drv         CD_get_intr
SEALED        108  USA        eaclib/psx/eacpsxz/cdfs      CD_systaskfunc
SEALED         24  USA        eaclib/psx/eacpsxz/cdfs      CD_timerfunc
SEALED        350  JPN        frontend/common/fedialog     CalculateDimensions__11tDialogHelp
SEALED        206  AU         game/common/camera           Camera_GetViewInfo__FiP17DRender_tCalcViewi
SEALED        494  JPN        game/psx/cario               CarIO_ReadInCarTextureData__FPcP8Car_tObjii
SEALED        304  JPN        game/psx/cario               CarIO_UpdateCarTextureData__FPcP8Car_tObji
SEALED        180  USA        game/common/cars             Car_DoPostCollisionStuff__FP8Car_tObj
SEALED        300  USA        eaclib/psx/eacpsxz/cdfs      CdReadyHandler
SEALED         36  USA        frontend/common/screenmemcard Cleanup__14tScreenMemcard
SEALED         31  USA        frontend/common/screenpinkslips Cleanup__16tScreenPinkSlips
SEALED        109  JPN        frontend/common/fememcard    Confirm__Fii
SEALED         32  USA        game/common/copspeak         CopSpeak_Alloc__FP17CopSpeak_tRequest
SEALED         49  USA        game/common/copspeak         CopSpeak_DirectRequest__FillP8Car_tObjPc
SEALED         45  USA        game/common/copspeak         CopSpeak_Free__FP17CopSpeak_tRequest
SEALED         47  USA        game/common/copspeak         CopSpeak_GenericBankRequest__FiP8Car_tObj
SEALED         13  USA        game/common/copspeak         CopSpeak_InitRequest__FP17CopSpeak_tRequest
SEALED         32  USA        game/common/copspeak         CopSpeak_InitVars__Fv
SEALED        135  USA        game/common/copspeak         CopSpeak_LoadNextRequest__Fv
SEALED         81  USA        game/common/copspeak         CopSpeak_PlayNextRequest__Fv
SEALED        176  USA        game/common/copspeak         CopSpeak_ReadyNextRequest__Fv
SEALED         84  USA        game/common/copspeak         CopSpeak_Request__FP17CopSpeak_tRequest
SEALED         42  USA        frontend/common/fememcard    DeInit_Memcard__Fv
SEALED         47  JPN        game/psx/device              Device_VerifyType__Fi
SEALED        183  FR-DE      frontend/psx/psxfront        DoLanguageScreen__Fv
SEALED        193  UK-ES-IT   frontend/psx/psxfront        DoLanguageScreen__Fv
SEALED        182  UK-SW      frontend/psx/psxfront        DoLanguageScreen__Fv
SEALED        193  USA        frontend/common/screencarselect DoMemCardStuff__25tScreenPinkSlipsCarSelect
SEALED         66  AU         frontend/psx/psxfront        DoTitleScreen__Fv
SEALED        390  USA        frontend/common/screenpinkslips DrawBackground__16tScreenPinkSlips
SEALED        301  AU         frontend/common/screentracks DrawBackground__18tScreenTrackSelect
SEALED        301  USA        game/psx/drawc               DrawC_PrimHalo__FP10matrixtdefP8coorddefP16Transformer_zObjiiiP13Draw_CarCache
SEALED        125  AU         frontend/common/screencarselect DrawCar__FR8tCarInfossffcbUl7tPlayer
SEALED        125  USA        frontend/common/screencarselect DrawCar__FR8tCarInfossffcbUl7tPlayer
SEALED         48  USA        frontend/common/screencongrats DrawCongratsMessage__23tScreenBeTheCopCongrats
SEALED        185  USA        frontend/common/screencongrats DrawCongratsMessage__23tScreenTournamentTrophy
FAIL 4        200  JPN        frontend/common/screencongrats DrawCongratsMessage__23tScreenTournamentTrophy
FAIL 2         67  USA        frontend/common/screenmemcard DrawForeground__14tScreenMemcard
SEALED        566  USA        frontend/common/screencarselect DrawForeground__16tScreenCarSelect
SEALED         42  USA        frontend/common/screentournselect DrawForeground__18tScreenTournSelect
SEALED        136  JPN        frontend/common/feapp        DrawHelpIcons__14tFEApplication
SEALED        156  USA        frontend/common/screentrackrecords DrawOneRecord__19tScreenTrackRecordsibi
SEALED        104  USA        frontend/common/screencarselect DrawVideoWall__25tScreenCarSelectTwoPlayers
SEALED         52  USA        game/psx/draww               DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache
SEALED         26  USA        game/psx/draww               DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache
SEALED         36  AU         game/psx/draw                Draw_CheckFirstFrameRender__Fv
SEALED         69  AU         game/psx/draw                Draw_DirectSetEnvironment__Fiiiiiiiiii
SEALED         47  AU         game/psx/draw                Draw_InitRenderEngine__Fiiiiii
SEALED        235  AU         game/psx/fe3dmenu            Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii
SEALED         11  USA        game/psx/draw                Draw_SetViewMemBudget__Fii
SEALED         60  USA        game/psx/draw                Draw_StartRenderingView__Fi
SEALED        139  JPN        frontend/common/fedialog     Draw__11tDialogHelp
SEALED        402  AU         frontend/common/femenuoptions Draw__20tMenuItemSlidingMenuiib
SEALED         44  JPN        game/common/pausemenu        Draw__25tPMenuItemLeftRightChoiceb
SEALED         96  JPN        game/common/pausemenu        Draw__25tPMenuItemLeftRightSliderb
SEALED         46  USA        frontend/common/fecheats     FECheat_ActivateBonusByCode__FPc
SEALED         66  USA        frontend/common/fecheats     FECheat_ActivateCheat__FPc
SEALED         36  USA        frontend/common/fecheats     FECheat_HandleActivation__F10tCheatCode
SEALED         30  USA        frontend/common/fecheats     FECheat_LoadBonus__FRUl
SEALED         77  JPN        frontend/common/feinput      FEInput_GetKeyFromPlayer__F7tPlayerl
FAIL 4        122  JPN        frontend/common/feinput      FEInput_GetNoDebounceKey__Fii
SEALED         28  JPN        frontend/common/feinput      FEInput_VerifyControllerValues__Fi
SEALED        126  USA        frontend/common/fetools      FeTools_DrawPSXButton__FUcUsii
SEALED        138  USA        syslib/psx/libgpu/FONT       FntPrint
SEALED        205  USA        frontend/common/front        Front_AppendOpponentData__FPiR9tFEStream
SEALED         63  USA        frontend/common/front        Front_GetInGameVars__Fv
SEALED         85  USA        frontend/common/front        Front_InitMissions__FR9tFEStream
SEALED        117  USA        frontend/common/front        Front_InitTrack__FR9tFEStream
SEALED         42  AU         frontend/common/front        Front_InitialMemCardCheck__Fv
SEALED         25  USA        frontend/common/front        Front_InitialMemCardCheck__Fv
SEALED         53  USA        frontend/common/front        Front_SecondaryMemCardCheck__Fv
SEALED        263  USA        game/common/gmesetup         GameSetup_StartUp__FPi
SEALED         28  USA        frontend/common/fecars       GetCarFromID__11tCarManagers
SEALED        148  USA        frontend/common/screencongrats GetShapeInfo__15tScreenCongratsRsT1PPcT3
SEALED         58  USA        frontend/common/screencarselect GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3
SEALED         30  USA        frontend/common/screencarselect GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3
SEALED         51  AU         frontend/common/fescreen     GoNonInterlaced__7tScreen
SEALED       1464  USA        game/common/aih_cop          HighExecute__10AIHigh_Cop
SEALED        758  USA        game/psx/hud                 Hud_BuildNumbers__Fi
SEALED        187  AU         game/psx/hud                 Hud_CreateHudViews__Fv
SEALED          2  USA        game/psx/hud                 Hud_DebugInfo__Fv
SEALED         97  USA        game/psx/hud                 Hud_ParseTime__FiPc
SEALED         32  AU         frontend/common/fememcard    Init_MemcardFile__FR12MCRDFILE_defsb
SEALED         90  AU         frontend/common/fememcard    Init_Memcard__FbT0
SEALED         89  USA        frontend/common/fememcard    Init_Memcard__FbT0
SEALED         62  AU         frontend/psx/psxfront        Init_RenderingEnvironment__Fv
SEALED         54  AU         frontend/common/fecredits    Init__14tCreditManageri
SEALED        219  AU         frontend/common/screenmain   Initialize__11tScreenMain
SEALED        221  USA        frontend/common/screenmain   Initialize__11tScreenMain
SEALED        223  JPN        frontend/common/screenmain   Initialize__11tScreenMain
SEALED        107  AU         frontend/common/screenmemcard Initialize__14tScreenMemcard
SEALED         32  USA        frontend/common/screencarselect Initialize__25tScreenCarSelectTwoPlayer
SEALED         28  USA        frontend/common/screencarselect Initialize__25tScreenPinkSlipsCarSelect
SEALED        354  USA        game/common/chunk            InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem
SEALED         77  USA        frontend/common/femission    LoadDescription__15tMissionManagerb
FAIL 3        388  USA        frontend/common/fememcard    LoadGame__FsbT1
SEALED        209  USA        game/common/speech           Lose__Q26Speech13MobileSpeaker
SEALED        192  USA        game/common/mpause           MPause_MusicLogic__Fc
SEALED         28  USA        syslib/psx/libmcrd/LIBMCRD   MemCardCmd_cb
SEALED        173  USA        frontend/common/femenudefs   MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand
SEALED         54  USA        frontend/common/femenudefs   MenuExtended_LoadGame__FR12tMenuCommand
SEALED        302  AU         frontend/common/femenuextended MenuNFS4_DrawTextBox__FiR4RECTissbT5
SEALED        301  USA        frontend/common/femenuextended MenuNFS4_DrawTextBox__FiR4RECTissbT5
SEALED        136  AU         frontend/psx/movie           Movie_Play__Fc
SEALED        134  USA        frontend/psx/movie           Movie_Play__Fc
SEALED        172  USA        game/common/nfs3             NFS4_LoadPerps__Fv
SEALED        492  USA        game/common/newton           Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj
SEALED         28  USA        game/common/object           Object_KillStatus__Fv
SEALED         17  USA        eaclib/psx/pad               PAD_restore
SEALED         20  USA        eaclib/psx/pad               PAD_state
SEALED         63  USA        eaclib/psx/pad               PAD_update
SEALED         35  USA        syslib/psx/libpad/PADENTRY   PadInfoAct
SEALED       1273  USA        game/common/physics          Physics_Real__FP8Car_tObj
SEALED         58  USA        game/psx/platform            Platform_SysStartUp__Fv
SEALED         39  USA        frontend/common/screenmain   PreLoad__11tScreenMain
SEALED        111  USA        frontend/common/screencarselect ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand
SEALED         58  USA        frontend/common/screencarselect ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand
SEALED        382  USA        game/common/r3dcar           R3DCar_InsertCarFacetII__FP8Car_tObj
SEALED       1153  USA        game/common/r3dcar           R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView
SEALED        363  AU         frontend/common/feapp        Redraw__14tFEApplication
SEALED        373  JPN        frontend/common/feapp        Redraw__14tFEApplication
SEALED        360  USA        frontend/common/feapp        Redraw__14tFEApplication
SEALED         59  AU         game/common/render           Render_CreatePlayerViews__Fv
SEALED         27  USA        game/common/render           Render_InitBlurMode__Fv
SEALED         46  AU         game/common/render           Render_InitTrackRender__Fv
SEALED         41  USA        game/common/render           Render_RenderWorld__FP13DRender_tView
SEALED         82  USA        game/common/render           Render_Render__Fi
SEALED        184  USA        frontend/common/feapp        RunDemoVideo__14tFEApplication
SEALED        298  USA        frontend/common/fememcard    SaveGame__Fs
FAIL 47       236  USA        frontend/common/fememcard    SavePinkSlipsCars__Fss
SEALED        183  JPN        frontend/common/screencontroller SetCurrentController__23tScreenControllerConfigb
