_vt_23tListIteratorTournament  base 80011670 -> NFS4-R-AU 80011618  size 540
  +0x003c: base 6d2e7372  region 2e327372
  +0x0040: base 00007369  region 0073696d
  +0x0048: base 2e327372  region 6d2e7372
  +0x004c: base 0073696d  region 00007369
  +0x0074: base 73257325  region 4445454e
  +0x0078: base 00000000  region 524f4620
  +0x007c: base 4d7a7325  region 45505320
  +0x0080: base 702e6d65  region 00004445
  +0x0084: base 00006873  region 4d7a7325
  +0x0088: base 80034cbc  region 702e6d65
  +0x008c: base 80034cbc  region 00006873
  +0x01e8: base 706d6953  region 8003581c
  +0x01ec: base 654d656c  region 80035848
  +0x01f0: base 0000006d  region 706d6953
  +0x01f4: base 637a7325  region 654d656c
  +0x01f8: base 25646572  region 0000006d
  +0x01fc: base 61642e64  region 637a7325
  +0x0200: base 00000074  region 61646572
  +0x0204: base 6f636572  region 7461642e
  +0x0208: base 00736472  region 00000000
  +0x020c: base 00000000  region 6f636572
  +0x0210: base 6956797a  region 00736472
  +0x0214: base 32302564  region 00000000
  +0x0218: base 00000064  region 6956797a
