GameSetup_gPersonalityNames  base 80113174 -> NFS4-R-JPN 80114218  size 120
  +0x0000: base 656d654e  region 454d454e
  +0x0004: base 00736973  region 00534953
  +0x0008: base 6c6c7542  region 4c4c5542
  +0x000c: base 00007469  region 00005449
  +0x0010: base 736f7246  region 534f5246
  +0x0014: base 00000074  region 00000054
  +0x0018: base 676e6152  region 474e4152
  +0x001c: base 00007265  region 00005245
  +0x0020: base 6d756843  region 4d554843
  +0x0024: base 00000070  region 00000050
  +0x0028: base 6b616e53  region 4b414e53
  +0x002c: base 00000065  region 00000045
  +0x0030: base 6f7a6152  region 4f5a4152
  +0x0034: base 00000072  region 00000052
  +0x0038: base 6e756854  region 4e554854
  +0x003c: base 00726564  region 00524544
  +0x0040: base 64616f52  region 44414f52
  +0x0044: base 00676f68  region 00474f48
  +0x0048: base 74756c43  region 54554c43
  +0x004c: base 00006863  region 00004843
  +0x0050: base 6f6f6353  region 47494853
  +0x0054: base 00726574  region 00555245
  +0x0058: base 72646e57  region 52444e57
  +0x005c: base 00796f42  region 00594f42
  +0x0060: base 73616c46  region 53414c46
  +0x0064: base 00000068  region 00000048
  +0x0068: base 426b694b  region 424b494b
  +0x006c: base 00007475  region 00005455
  +0x0070: base 6573614c  region 4553414c
  +0x0074: base 00000072  region 00000052
