_vt_23tListIteratorTournament  base 80011670 -> NFS4-R-JPN 80011618  size 500
  +0x003c: base 6d2e7372  region 2e327372
  +0x0040: base 00007369  region 0073696d
  +0x0048: base 2e327372  region 6d2e7372
  +0x004c: base 0073696d  region 00007369
  +0x0074: base 73257325  region 5245564f
  +0x0078: base 00000000  region 49524420
  +0x007c: base 4d7a7325  region 474e4956
  +0x0080: base 702e6d65  region 00003420
  +0x0084: base 00006873  region 4d7a7325
  +0x0088: base 80034cbc  region 702e6d65
  +0x008c: base 80034cbc  region 00006873
  +0x01e8: base 706d6953  region 800353c4
  +0x01ec: base 654d656c  region 800353f0
  +0x01f0: base 0000006d  region 706d6953
