class	region_va	base_va	name	rows	callers	strings
CHANGED	80012C18	80012BF8	Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii	235	DrawCar__FR8tCarInfossffcbUl7tPlayer	
REGION-ONLY	80012FC4		func_80012FC4	107	DrawCar__FR8tCarInfossffcbUl7tPlayer	
CHANGED	8001390C	8001373C	Redraw__14tFEApplication	363	RunDemoVideo__14tFEApplication;MainLoop__14tFEApplicationP5tMenu;MainLoop__14tFEApplicationP5tMenu;Run__18tDialogInteractive	
CHANGED	8001416C	80014014	RunDemoVideo__14tFEApplication	184	MainLoop__14tFEApplicationP5tMenu	
CHANGED	800163F4	8001624C	GetCarFromID__11tCarManagers	28	CalcUsedPrice__11tCarManagers;PurchaseCar__11tCarManagersss;PurchaseUpgrade__11tCarManagersss;AddUpgradesToPinkSlipsList__11tCarManagersss	
CHANGED	80017C64	80017A9C	AdjustPosition__16tListIteratorCar7tPlayers	380	Increment__16tListIteratorCar7tPlayer;Decrement__16tListIteratorCar7tPlayer	
CHANGED	8001A1D8	8001A018	MenuNFS4_DrawTextBox__FiR4RECTissbT5	302	Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__28tMenuItemNFS4LeftRightChoiceiib;Draw__28tMenuItemNFS4LeftRightChoiceiib	
CHANGED	8001D824	8001D63C	Draw__20tMenuItemSlidingMenuiib	402		
CHANGED	80023430	80023240	FECheat_HandleActivation__F10tCheatCode	36	FECheat_ActivateBonus__F10tCheatCode;FECheat_ActivateCheat__FPc;FECheat_LoadBonus__FRUl	
CHANGED	800236C4	80023614	FECheat_ActivateCheat__FPc	66	CheckForCheats__FPc	
CHANGED	80023808	80023758	FECheat_LoadBonus__FRUl	30	LoadGame__FsbT1	
CHANGED	80023890	800237E0	FECheat_ActivateBonusByCode__FPc	46	CheckForCheats__FPc	
CHANGED	80025CA8	80025BF8	GoNonInterlaced__7tScreen	51	Initialize__7tScreen	
CHANGED	80026A60	800269B0	FeTools_DrawPSXButton__FUcUsii	126	Draw__11tDialogHelp;Draw__11tDialogHelp	
CHANGED	800279F8	80027948	Front_InitialMemCardCheck__Fv	42	DoLanguageScreen__Fv	
CHANGED	80027AA0	80027994	Front_SecondaryMemCardCheck__Fv	53	Init_PSX_FrontEnd__Fv	
CHANGED	80028C7C	80028B64	Front_InitMissions__FR9tFEStream	85	Front_BuildStream__FPi	
CHANGED	80029358	8002921C	Front_InitTrack__FR9tFEStream	117	Front_BuildStream__FPi	
CHANGED	80029C48	80029AFC	Front_AppendOpponentData__FPiR9tFEStream	205	Front_BuildStream__FPi	
CHANGED	8002B824	8002B6D8	Front_GetInGameVars__Fv	63	main	
