class	region_va	base_va	name	rows	callers	strings
REGION-ONLY	80012F40		func_80012F40	106	DrawCar__FR8tCarInfossffcbUl7tPlayer	
CHANGED	8001348C	80013344	DrawHelpIcons__14tFEApplication	136	Redraw__14tFEApplication	
CHANGED	800136AC	8001373C	Redraw__14tFEApplication	373	RunDemoVideo__14tFEApplication;MainLoop__14tFEApplicationP5tMenu;MainLoop__14tFEApplicationP5tMenu;Run__18tDialogInteractive	
CHANGED	80013F34	80014014	RunDemoVideo__14tFEApplication	184	MainLoop__14tFEApplicationP5tMenu	
CHANGED	800161BC	8001624C	GetCarFromID__11tCarManagers	28	CalcUsedPrice__11tCarManagers;PurchaseCar__11tCarManagersss;PurchaseUpgrade__11tCarManagersss;AddUpgradesToPinkSlipsList__11tCarManagersss	
CHANGED	80017A2C	80017A9C	AdjustPosition__16tListIteratorCar7tPlayers	380	Increment__16tListIteratorCar7tPlayer;Decrement__16tListIteratorCar7tPlayer	
CHANGED	80018B18	80018B90	CalculateDimensions__11tDialogHelp	350		
CHANGED	80019090	8001912C	Draw__11tDialogHelp	139		
CHANGED	80019EB8	8001A018	MenuNFS4_DrawTextBox__FiR4RECTissbT5	301	Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__28tMenuItemNFS4LeftRightChoiceiib;Draw__28tMenuItemNFS4LeftRightChoiceiib	
CHANGED	80023100	80023240	FECheat_HandleActivation__F10tCheatCode	36	FECheat_ActivateBonus__F10tCheatCode;FECheat_ActivateCheat__FPc;FECheat_LoadBonus__FRUl	
CHANGED	80023394	80023614	FECheat_ActivateCheat__FPc	66	CheckForCheats__FPc	
CHANGED	800234D8	80023758	FECheat_LoadBonus__FRUl	30	LoadGame__FsbT1	
CHANGED	80023560	800237E0	FECheat_ActivateBonusByCode__FPc	46	CheckForCheats__FPc	
CHANGED	80023618	80023898	FEInput_VerifyControllerValues__Fi	28	FEInput_GetNoDebounceKey__Fii	
CHANGED	80023688	800238F8	FEInput_GetNoDebounceKey__Fii	122	FEInput_GetDebounceKey__Fii;FEInput_GetKeyFromPlayer__F7tPlayerl;SetupCurrCredit__14tCreditManager;SetupCurrCredit__14tCreditManager	
CHANGED	80023984	80023C88	FEInput_GetKeyFromPlayer__F7tPlayerl	77	MainLoop__14tFEApplicationP5tMenu;Run__18tDialogInteractive	
CHANGED	800265D8	800268F0	s_upper__FPc	8	MenuNFS4_DrawTextBox__FiR4RECTissbT5;Draw__27tMenuItemGoToMenuNFS4Buttoniib	
CHANGED	800265F8	80026950	s_lower__FPc	8	FETextRender_FullTextRGB__FPcssics;FETextRender_WordWrapTextRGBJustify__FPcR4RECTiiib;FETextRender_Title__Fs;SetLicensePlate__Fv	
CHANGED	80026618	800269B0	FeTools_DrawPSXButton__FUcUsii	126	Draw__11tDialogHelp	
CHANGED	800275B0	80027948	Front_InitialMemCardCheck__Fv	25	DoLanguageScreen__Fv	
CHANGED	80027614	80027994	Front_SecondaryMemCardCheck__Fv	53	Init_PSX_FrontEnd__Fv	
CHANGED	800287F0	80028B64	Front_InitMissions__FR9tFEStream	85	Front_BuildStream__FPi	
CHANGED	80028ECC	8002921C	Front_InitTrack__FR9tFEStream	117	Front_BuildStream__FPi	
CHANGED	800297BC	80029AFC	Front_AppendOpponentData__FPiR9tFEStream	205	Front_BuildStream__FPi	
CHANGED	8002B398	8002B6D8	Front_GetInGameVars__Fv	63	main	
CHANGED	8002D598	8002D8D0	MenuExtended_LoadGame__FR12tMenuCommand	54		
CHANGED	8002DB7C	8002DE74	MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	173		
CHANGED	8002E14C	8002E3B8	__15tGlobalMenuDefs	3197	Front_ConstructAll__Fv	
CHANGED	80032BA0	80032E30	UpdateTrackFinishPoints__18tTournamentManager	129	AdvanceToNextTrack__18tTournamentManager	
CHANGED	80033DD4	8003407C	LoadDescription__15tMissionManagerb	77	Front_InitMissions__FR9tFEStream	
CHANGED	80034188	80034438	Confirm__Fii	109	OverwriteConfirm__Fv;FormatConfirm__Fv	
CHANGED	800343F4	800346A4	Init_Memcard__FbT0	90	MainLoop__14tFEApplicationP5tMenu;Front_SecondaryMemCardCheck__Fv;GenericMenuSaveGame__Fi;MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	
CHANGED	8003455C	80034800	DeInit_Memcard__Fv	42	MainLoop__14tFEApplicationP5tMenu;Front_SecondaryMemCardCheck__Fv;GenericMenuSaveGame__Fi;MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	
CHANGED	80034604	800348A0	Init_MemcardFile__FR12MCRDFILE_defsb	32	SaveGame__Fs;LoadGame__FsbT1;SavePinkSlipsCars__Fss	
CHANGED	80034684	80034988	SaveGame__Fs	298	GenericMenuSaveGame__Fi	
CHANGED	80034B2C	80034E18	LoadGame__FsbT1	388	Front_SecondaryMemCardCheck__Fv;GenericMenuLoadGame__Fi;DoMemCardStuff__25tScreenPinkSlipsCarSelect	
CHANGED	8003513C	800353F0	SavePinkSlipsCars__Fss	236	SavePinkSlipsCarsWithErrorDialogs__Fsss	
CHANGED	80035AD8	80035D68	SetupCurrCredit__14tCreditManager	214	Draw__14tCreditManagerb	
CHANGED	80036CD0	80036F20	SwapBackground__11tScreenMaini	109	MenuExtended_SetOnePlayer__FR12tMenuCommand;MenuExtended_SetTwoPlayer__FR12tMenuCommand;MenuExtended_SetSingleRace__FR12tMenuCommand;MenuExtended_SetTournament__FR12tMenuCommand	
CHANGED	80038470	800386C8	PreLoad__11tScreenMain	39		
CHANGED	8003850C	800388D4	Initialize__11tScreenMain	223		
CHANGED	80038918	80038B68	DrawBackground__16tScreenPinkSlips	390		
CHANGED	80039138	80039320	Cleanup__16tScreenPinkSlips	31		
