symbol	base_addr	region_addr	votes	total_sites
AICop_gRoadBlockState	8013C574	8013D650	10	10
AICop_numArrestedHumans	8013C578	8013D654	6	6
AICop_rawTriggers	8013C570	8013D64C	4	4
AICop_spikeBelt	8010D54C	8010DF94	11	11
AIDataRecord_BestLine	8013C5A0	8013D67C	4	4
AIDataRecord_RecordMethod	8013C5AC	8013D688	1	1
AIDataRecord_TrackCurve	8013C5A4	8013D680	12	12
AIDataRecord_WhichRecord	8013C5A8	8013D684	1	1
AIH_BTCCop_chasePositions	8010CDA4	8010D7EC	1	1
AIH_BTC_Cop_1HC1HP_StageTimes	8010CD98	8010D7E0	1	1
AIH_Cop_chasePositions	8010CEEC	8010D934	1	1
AIHigh_BTC_uTurnProb1000Skills	8010CE8C	8010D8D4	1	1
AIHigh_BasicPerp_CaughtDistance	8010CD8C	8010D7D4	1	1
AIHigh_BasicPerp_CopCaughtSpeed	8010CD80	8010D7C8	1	1
AIHigh_BasicPerp_MinDeltaSpeed	8010CD74	8010D7BC	1	1
AIHigh_BasicPerp_PlayerCaughtDeltaY	8010CD68	8010D7B0	1	1
AIHigh_BasicPerp_PlayerCaughtSpeed	8010CD5C	8010D7A4	1	1
AIHigh_CopGameType	8013C55C	8013D638	13	13
AIHigh_Player_kNumArrestsByLap	8010CE98	8010D8E0	1	1
AIInit_forceHumanHandBrake	8013C584	8013D660	3	3
AIInit_useSpreadForce	8013C580	8013D65C	2	2
AIPerson_PersonalityData	8010D768	8010E1B0	2	2
AIPerson_ScriptData	8010DA5C	8010E4A4	2	2
AIPerson_attackActivationHits	8010D65C	8010E0A4	1	1
AIPerson_attackTimes	8010D66C	8010E0B4	1	1
AIPerson_bestLineAbilities	8010D704	8010E14C	1	1
AIPerson_blockMaxDistance	8010D5CC	8010E014	1	1
AIPerson_blockMinDistance	8010D5DC	8010E024	1	1
AIPerson_brakeMultiplier	8010D64C	8010E094	1	1
AIPerson_fishtailAngles	8010D67C	8010E0C4	1	1
AIPerson_glueTable	8010D714	8010E15C	5	5
AIPerson_gripLossMinFactor	8010D69C	8010E0E4	1	1
AIPerson_gripLossProbPerSecond	8010D68C	8010E0D4	1	1
AIPerson_gripLossRecoveryPerTick	8010D6AC	8010E0F4	1	1
AIPerson_laneSwerve	8010D5FC	8010E044	1	1
