symbol	base_addr	region_addr	votes	total_sites
AICop_gRoadBlockState	8013C574	8013D890	10	10
AICop_numArrestedHumans	8013C578	8013D894	6	6
AICop_rawTriggers	8013C570	8013D88C	4	4
AICop_spikeBelt	8010D54C	8010E1D4	11	11
AIDataRecord_BestLine	8013C5A0	8013D8BC	4	4
AIDataRecord_RecordMethod	8013C5AC	8013D8C8	1	1
AIDataRecord_TrackCurve	8013C5A4	8013D8C0	12	12
AIDataRecord_WhichRecord	8013C5A8	8013D8C4	1	1
AIH_BTCCop_chasePositions	8010CDA4	8010DA2C	1	1
AIH_BTC_Cop_1HC1HP_StageTimes	8010CD98	8010DA20	1	1
AIH_Cop_chasePositions	8010CEEC	8010DB74	1	1
AIHigh_BTC_uTurnProb1000Skills	8010CE8C	8010DB14	1	1
AIHigh_BasicPerp_CaughtDistance	8010CD8C	8010DA14	1	1
AIHigh_BasicPerp_CopCaughtSpeed	8010CD80	8010DA08	1	1
AIHigh_BasicPerp_MinDeltaSpeed	8010CD74	8010D9FC	1	1
AIHigh_BasicPerp_PlayerCaughtDeltaY	8010CD68	8010D9F0	1	1
AIHigh_BasicPerp_PlayerCaughtSpeed	8010CD5C	8010D9E4	1	1
AIHigh_CopGameType	8013C55C	8013D878	13	13
AIHigh_Player_kNumArrestsByLap	8010CE98	8010DB20	1	1
AIInit_forceHumanHandBrake	8013C584	8013D8A0	3	3
AIInit_useSpreadForce	8013C580	8013D89C	2	2
AIPerson_PersonalityData	8010D768	8010E3F0	2	2
AIPerson_ScriptData	8010DA5C	8010E6E4	2	2
AIPerson_attackActivationHits	8010D65C	8010E2E4	1	1
AIPerson_attackTimes	8010D66C	8010E2F4	1	1
AIPerson_bestLineAbilities	8010D704	8010E38C	1	1
AIPerson_blockMaxDistance	8010D5CC	8010E254	1	1
AIPerson_blockMinDistance	8010D5DC	8010E264	1	1
AIPerson_brakeMultiplier	8010D64C	8010E2D4	1	1
AIPerson_fishtailAngles	8010D67C	8010E304	1	1
AIPerson_glueTable	8010D714	8010E39C	5	5
AIPerson_gripLossMinFactor	8010D69C	8010E324	1	1
AIPerson_gripLossProbPerSecond	8010D68C	8010E314	1	1
AIPerson_gripLossRecoveryPerTick	8010D6AC	8010E334	1	1
AIPerson_laneSwerve	8010D5FC	8010E284	1	1
AIPerson_minimumWipeOutTicks	8010D6BC	8010E344	1	1
AIPerson_oncomingLookAhead	8010D5EC	8010E274	1	1
AIPerson_randomWipeOutTicks	8010D6D0	8010E358	1	1
AIPerson_rearEndProbMask	8010D6E4	8010E36C	1	1
AIPerson_smackProbMask	8010D6F4	8010E37C	1	1
AIPerson_swerveChangeProb	8010D63C	8010E2C4	1	1
AIPhysicConfig	8010DC74	8010E8FC	6	6
AIPhysic_Main__FP8Car_tObj	80069B84	8006A384	1	1
AIPhysic_elapsedTime	8013C59C	8013D8B8	20	20
AIPhysic_iTime	8013C594	8013D8B0	9	9
AIPhysic_time	8013C598	8013D8B4	1	1
AISpeeds_TrackSpeeds	8010DD78	8010EA00	1	1
AITraffic_rawTriggers	8013C57C	8013D898	3	3
AITrigger_Compare__FPCvT0	80072E18	800736F8	1	1
AITune_BTC	8010DE14	8010F104	5	5
AITune_BTCPerpAccMults	8010DE68	8010F158	1	1
AITune_LifeTimer	8010DFDC	8010F2CC	1	1
AITune_MaxTraffic	8010DFBC	8010F2AC	1	1
AITune_accelerationScale	8010DF04	8010F1F4	1	1
AITune_driveSide	8013C5F4	8013D910	10	10
AITune_gRoughLapTime	8013C5F8	8013D914	7	7
AITune_oneWay	8013C5F0	8013D90C	7	7
AITune_trackInfo	8010DE74	8010F164	4	4
AI_Info	8010CCF0	8010D978	20	20
AI_elapsedTime	8013C554	8013D870	20	20
AI_iTime	8013C558	8013D874	1	1
AI_time	8013C550	8013D86C	1	1
Anim_gInstanceFromIndex	8010E1CC	8010F4BC	4	4
ArrowLocations	80052104	80052954	2	2
AudioClc_gBullHornCount	8013C610	8013D930	1	1
AudioClc_gBumpCopCount	8013C614	8013D934	1	1
AudioClc_gCameraVelocity	8013C608	8013D928	2	2
AudioClc_gClosest	8010E348	8010F638	7	7
AudioClc_gLastVoice	8013C618	8013D938	1	1
AudioClc_gLastphrase1	8013C61C	8013D93C	1	1
AudioClc_gLastphrase2	8013C620	8013D940	1	1
AudioClc_gLastphrase3	8013C624	8013D944	1	1
AudioClc_gPlayer	8010E2A8	8010F598	2	2
AudioClc_gRandomPhrase	8013C60C	8013D92C	1	1
AudioClc_gRenderView	8010E428	8010F718	8	8
AudioCmn_ThunderAmp	8013C714	8013DA34	8	8
AudioCmn_ThunderAzi	8013C718	8013DA38	3	3
AudioCmn_ThunderDel	8013C71C	8013DA3C	5	5
