class	region_va	base_va	name	rows	callers	strings
REGION-ONLY	80012F50		func_80012F50	106	DrawCar__FR8tCarInfossffcbUl7tPlayer	
CHANGED	80013894	8001373C	Redraw__14tFEApplication	360	RunDemoVideo__14tFEApplication;MainLoop__14tFEApplicationP5tMenu;MainLoop__14tFEApplicationP5tMenu;Run__18tDialogInteractive	
CHANGED	800140E8	80014014	RunDemoVideo__14tFEApplication	184	MainLoop__14tFEApplicationP5tMenu	
CHANGED	80016374	8001624C	GetCarFromID__11tCarManagers	28	CalcUsedPrice__11tCarManagers;PurchaseCar__11tCarManagersss;PurchaseUpgrade__11tCarManagersss;AddUpgradesToPinkSlipsList__11tCarManagersss	
CHANGED	80017BE4	80017A9C	AdjustPosition__16tListIteratorCar7tPlayers	380	Increment__16tListIteratorCar7tPlayer;Decrement__16tListIteratorCar7tPlayer	
CHANGED	8001A158	8001A018	MenuNFS4_DrawTextBox__FiR4RECTissbT5	301	Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__27tMenuItemGoToMenuNFS4Buttoniib;Draw__28tMenuItemNFS4LeftRightChoiceiib;Draw__28tMenuItemNFS4LeftRightChoiceiib	
CHANGED	800233A0	80023240	FECheat_HandleActivation__F10tCheatCode	36	FECheat_ActivateBonus__F10tCheatCode;FECheat_ActivateCheat__FPc;FECheat_LoadBonus__FRUl	
CHANGED	80023634	80023614	FECheat_ActivateCheat__FPc	66	CheckForCheats__FPc	
CHANGED	80023778	80023758	FECheat_LoadBonus__FRUl	30	LoadGame__FsbT1	
CHANGED	80023800	800237E0	FECheat_ActivateBonusByCode__FPc	46	CheckForCheats__FPc	
CHANGED	800269D0	800269B0	FeTools_DrawPSXButton__FUcUsii	126	Draw__11tDialogHelp;Draw__11tDialogHelp	
CHANGED	80027968	80027948	Front_InitialMemCardCheck__Fv	25	DoLanguageScreen__Fv	
CHANGED	800279CC	80027994	Front_SecondaryMemCardCheck__Fv	53	Init_PSX_FrontEnd__Fv	
CHANGED	80028BA8	80028B64	Front_InitMissions__FR9tFEStream	85	Front_BuildStream__FPi	
CHANGED	80029284	8002921C	Front_InitTrack__FR9tFEStream	117	Front_BuildStream__FPi	
CHANGED	80029B74	80029AFC	Front_AppendOpponentData__FPiR9tFEStream	205	Front_BuildStream__FPi	
CHANGED	8002B750	8002B6D8	Front_GetInGameVars__Fv	63	main	
CHANGED	8002D950	8002D8D0	MenuExtended_LoadGame__FR12tMenuCommand	54		
