symbol	base_addr	region_addr	votes	total_sites
AICop_gRoadBlockState	8013C574	8013D864	10	10
AICop_numArrestedHumans	8013C578	8013D868	6	6
AICop_rawTriggers	8013C570	8013D860	4	4
AICop_spikeBelt	8010D54C	8010E1A8	11	11
AIDataRecord_BestLine	8013C5A0	8013D890	4	4
AIDataRecord_RecordMethod	8013C5AC	8013D89C	1	1
AIDataRecord_TrackCurve	8013C5A4	8013D894	12	12
AIDataRecord_WhichRecord	8013C5A8	8013D898	1	1
AIH_BTCCop_chasePositions	8010CDA4	8010DA00	1	1
AIH_BTC_Cop_1HC1HP_StageTimes	8010CD98	8010D9F4	1	1
AIH_Cop_chasePositions	8010CEEC	8010DB48	1	1
AIHigh_BTC_uTurnProb1000Skills	8010CE8C	8010DAE8	1	1
AIHigh_BasicPerp_CaughtDistance	8010CD8C	8010D9E8	1	1
AIHigh_BasicPerp_CopCaughtSpeed	8010CD80	8010D9DC	1	1
AIHigh_BasicPerp_MinDeltaSpeed	8010CD74	8010D9D0	1	1
AIHigh_BasicPerp_PlayerCaughtDeltaY	8010CD68	8010D9C4	1	1
AIHigh_BasicPerp_PlayerCaughtSpeed	8010CD5C	8010D9B8	1	1
AIHigh_CopGameType	8013C55C	8013D84C	13	13
AIHigh_Player_kNumArrestsByLap	8010CE98	8010DAF4	1	1
AIInit_forceHumanHandBrake	8013C584	8013D874	3	3
AIInit_useSpreadForce	8013C580	8013D870	2	2
AIPerson_PersonalityData	8010D768	8010E3C4	2	2
AIPerson_ScriptData	8010DA5C	8010E6B8	2	2
AIPerson_attackActivationHits	8010D65C	8010E2B8	1	1
AIPerson_attackTimes	8010D66C	8010E2C8	1	1
AIPerson_bestLineAbilities	8010D704	8010E360	1	1
AIPerson_blockMaxDistance	8010D5CC	8010E228	1	1
AIPerson_blockMinDistance	8010D5DC	8010E238	1	1
AIPerson_brakeMultiplier	8010D64C	8010E2A8	1	1
AIPerson_fishtailAngles	8010D67C	8010E2D8	1	1
AIPerson_glueTable	8010D714	8010E370	5	5
AIPerson_gripLossMinFactor	8010D69C	8010E2F8	1	1
AIPerson_gripLossProbPerSecond	8010D68C	8010E2E8	1	1
AIPerson_gripLossRecoveryPerTick	8010D6AC	8010E308	1	1
AIPerson_laneSwerve	8010D5FC	8010E258	1	1
