name	distinct	groups
AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(8w)
AIState_Restart__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(16w)
AIState_StartUp__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(16w)
AdjustPosition__16tListIteratorCar7tPlayers	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(380w)
AllocatePrimitivesBuffer__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(39w)
AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(96w)
AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(85w)
AudioClc_SoundCars__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(180w)
AudioClc_SoundCloseCar__Fii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(61w)
AudioClc_SoundPlayersCar__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(318w)
AudioCmn_LoadAsyncSfx__FiiPvi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(99w)
AudioCmn_MusicLevel__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(14w)
AudioCmn_PlayDoppleredSound__Fiiiiii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(153w)
AudioCmn_PlaySFX__Fiiiiii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(343w)
AudioCmn_Reset__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(196w)
AudioCmn_SoundCar__FP8Car_tObjiiiiiii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(540w)
AudioCmn_TrafficSFX__Fiiiiiiii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(177w)
AudioCmn_UnPause__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(28w)
AudioEng_Set__Fiiiiiiii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(164w)
AudioMus_Fail__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(39w)
AudioMus_QueueRequestedSong__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(40w)
AudioMus_Server__Fii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(242w)
Audio_InitDriver__Fii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(61w)
BWorld_Init__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(187w)
BWorld_OpenContext__Fii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(56w)
CD_Read	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(162w)
CD_get_intr	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(343w)
CD_systaskfunc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(108w)
CD_timerfunc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(24w)
CalculateDimensions__11tDialogHelp	1	JPN(350w)
Camera_GetViewInfo__FiP17DRender_tCalcViewi	1	AU+FR-DE+UK-ES-IT+UK-SW(206w)
CarIO_ReadInCarTextureData__FPcP8Car_tObjii	1	JPN(494w)
CarIO_UpdateCarTextureData__FPcP8Car_tObji	1	JPN(304w)
Car_DoPostCollisionStuff__FP8Car_tObj	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(180w)
CdReadyHandler	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(300w)
Cleanup__14tScreenMemcard	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(36w)
Cleanup__16tScreenPinkSlips	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(31w)
Confirm__Fii	1	JPN(109w)
CopSpeak_Alloc__FP17CopSpeak_tRequest	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(32w)
CopSpeak_DirectRequest__FillP8Car_tObjPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(49w)
CopSpeak_Free__FP17CopSpeak_tRequest	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(45w)
