module                                         G0       G4       G8   verdict
eaclib/psx/eacpsxz/cdfs                   13/14/2  13/14/2  13/14/2   =
eaclib/psx/eacpsxz/stream                27/31/24  28/31/8  28/31/8   G4
eaclib/psx/sndpsxz/salloc                  2/4/20   2/4/20   2/4/20   =
eaclib/psx/sndpsxz/slib                    3/5/71   3/5/71   3/5/71   =
eaclib/psx/spchpsxz/spchpick             21/27/53 21/27/37 21/27/37   G4
eaclib/psx/sndpsxz/sbdload                 0/1/23   0/1/23   0/1/23   =
eaclib/psx/sndpsxz/spktplay               11/13/6  11/13/6  11/13/6   =
eaclib/psx/sndpsxz/sdpacket              10/13/20 11/13/16 11/13/16   G4
eaclib/psx/sndpsxz/ssysserv                 2/3/3    2/3/3    2/3/3   =
eaclib/psx/eacpsxz/trnsmult                0/1/31   0/1/31   0/1/31   =
eaclib/psx/sndpsxz/smemman                 3/4/48   3/4/48   3/4/48   =
eaclib/psx/sndpsxz/sdmemman                1/3/73   1/3/73   1/3/73   =
eaclib/psx/sndpsxz/sdma                     5/6/4    5/6/4    5/6/4   =
eaclib/psx/spchpsxz/spchrule               4/9/54   4/9/57   4/9/57   G0
eaclib/psx/sndpsxz/sdresolv                 1/2/3    1/2/3    1/2/3   =
