module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/2mbyte/2mbyte           BASE                 2       3       1       2
syslib/psx/2mbyte/2mbyte           G0nosplit            2       3       1       2
syslib/psx/libapi/COUNTER          BASE                 0       3      17       1
syslib/psx/libapi/COUNTER          G0nosplit            0       3      10       1
syslib/psx/libapi/FIRST            BASE                 0       2     100       2
syslib/psx/libapi/FIRST            G0nosplit            0       2      78       1
syslib/psx/libc/BSEARCH            BASE                 0       1      26       1
syslib/psx/libc/BSEARCH            G0nosplit            0       1      26       1
syslib/psx/libc/MEMCMP             BASE                 0       1       6       0
syslib/psx/libc/MEMCMP             G0nosplit            0       1       6       0
syslib/psx/libc/MEMMOVE            BASE                 0       1       2       1
syslib/psx/libc/MEMMOVE            G0nosplit            0       1       2       1
syslib/psx/libc/QSORT              BASE                 1       2      70       2
syslib/psx/libc/QSORT              G0nosplit            1       2      70       2
syslib/psx/libc/SPRINTF            BASE                 0       1     174       0
syslib/psx/libc/SPRINTF            G0nosplit            0       1     159       0
syslib/psx/libcard/CARDINIT        BASE                 1       2       4       2
syslib/psx/libcard/CARDINIT        G0nosplit            1       2       4       2
syslib/psx/libcd/TYPE              BASE                 0       2      59       0
syslib/psx/libcd/TYPE              G0nosplit            0       2      61       0
syslib/psx/libcd/cdcont            BASE                10      19     281      11
syslib/psx/libcd/cdcont            G0nosplit           10      19     286      11
syslib/psx/libcd/cdread            BASE                 0       6     264       1
syslib/psx/libcd/cdread            G0nosplit            0       6     294       1
syslib/psx/libcd/cdread2           BASE                 1       2       5       1
syslib/psx/libcd/cdread2           G0nosplit            1       2      11       1
syslib/psx/libcd/drv               BASE                 3      11     619       4
syslib/psx/libcd/drv               G0nosplit            3      11     663       4
syslib/psx/libcd/event             BASE                 0       5      64       4
syslib/psx/libcd/event             G0nosplit            0       5      57       4
syslib/psx/libcd/iso9660           BASE                 1       6     356       2
syslib/psx/libcd/iso9660           G0nosplit            1       6     338       3
syslib/psx/libcd/stcdint           BASE                 1       3     357       1
syslib/psx/libcd/stcdint           G0nosplit            1       3     360       1
syslib/psx/libcd/stream            BASE                 0       3      32       1
syslib/psx/libcd/stream            G0nosplit            0       3      32       1
syslib/psx/libcd/streamhelp        BASE                 1       6      75       1
syslib/psx/libcd/streamhelp        G0nosplit            1       6      75       1
syslib/psx/libcd/toc               BASE                 0       2      93       1
syslib/psx/libcd/toc               G0nosplit            0       2      89       1
syslib/psx/libds/DSCB              BASE                 0       2      15       1
syslib/psx/libds/DSCB              G0nosplit            0       2      15       1
syslib/psx/libetc/INTR             BASE                 7      13     237       8
syslib/psx/libetc/INTR             G0nosplit            7      13     171       9
syslib/psx/libetc/INTR_DMA         BASE                 1       3      30       2
syslib/psx/libetc/INTR_DMA         G0nosplit            1       3      39       2
syslib/psx/libetc/INTR_VB          BASE                 0       1      11       0
syslib/psx/libetc/INTR_VB          G0nosplit            0       1       5       0
syslib/psx/libetc/VMODE            BASE                 1       2       7       1
syslib/psx/libetc/VMODE            G0nosplit            1       2       8       2
syslib/psx/libetc/VSYNC            BASE                 0       2      53       1
syslib/psx/libetc/VSYNC            G0nosplit            0       2      52       0
syslib/psx/libgpu/FONT             BASE                 0       2     364       0
syslib/psx/libgpu/FONT             G0nosplit            0       2     330       0
syslib/psx/libgpu/P34              BASE                 0       1      13       0
syslib/psx/libgpu/P34              G0nosplit            0       1      13       0
syslib/psx/libgpu/SYS              BASE                13      44    1957      22
syslib/psx/libgpu/SYS              G0nosplit           14      44    1744      23
syslib/psx/libgte/COR_01           BASE                 0       1      76       0
syslib/psx/libgte/COR_01           G0nosplit            0       1      72       0
syslib/psx/libgte/COR_02           BASE                 0       1      12       0
syslib/psx/libgte/COR_02           G0nosplit            0       1      12       0
syslib/psx/libgte/COR_03           BASE                 0       1      85       0
syslib/psx/libgte/COR_03           G0nosplit            0       1      85       0
syslib/psx/libgte/FGO_01           BASE                 0       1     261       0
syslib/psx/libgte/FGO_01           G0nosplit            0       1     265       0
syslib/psx/libgte/FGO_06           BASE                 0       1     166       0
syslib/psx/libgte/FGO_06           G0nosplit            0       1     168       0
syslib/psx/libgte/FOG_01           BASE                 0       1       4       1
syslib/psx/libgte/FOG_01           G0nosplit            0       1       4       1
syslib/psx/libgte/PATCHGTE         BASE                 1       1       0       1
syslib/psx/libgte/PATCHGTE         G0nosplit            1       1       0       1
syslib/psx/libmath/ADDDF3          BASE                 0       1     377       0
syslib/psx/libmath/ADDDF3          G0nosplit            0       1     377       0
syslib/psx/libmath/DIVDF3          BASE                 1       2     305       1
syslib/psx/libmath/DIVDF3          G0nosplit            1       2     305       1
