module                               fns w/gprel  gprel   verdict
syslib/psx/2mbyte/2mbyte               4      0      0   -G0 CANDIDATE
syslib/psx/libapi/COUNTER              3      0      0   -G0 CANDIDATE
syslib/psx/libapi/FIRST                2      0      0   -G0 CANDIDATE
syslib/psx/libc/BSEARCH                1      0      0   -G0 CANDIDATE
syslib/psx/libc/MEMCMP                 1      0      0   -G0 CANDIDATE
syslib/psx/libc/MEMMOVE                1      0      0   -G0 CANDIDATE
syslib/psx/libc/QSORT                  2      0      0   -G0 CANDIDATE
syslib/psx/libc/SPRINTF                1      0      0   -G0 CANDIDATE
syslib/psx/libcard/CARDINIT            2      0      0   -G0 CANDIDATE
syslib/psx/libcd/TYPE                  2      0      0   -G0 CANDIDATE
syslib/psx/libcd/cdcont               19      0      0   -G0 CANDIDATE
syslib/psx/libcd/cdread                6      0      0   -G0 CANDIDATE
syslib/psx/libcd/cdread2               2      0      0   -G0 CANDIDATE
syslib/psx/libcd/drv                  11      0      0   -G0 CANDIDATE
syslib/psx/libcd/event                 5      0      0   -G0 CANDIDATE
syslib/psx/libcd/iso9660               5      0      0   -G0 CANDIDATE  (1 oracle files missing)
syslib/psx/libcd/stcdint               3      0      0   -G0 CANDIDATE
syslib/psx/libcd/stream                4      0      0   -G0 CANDIDATE
syslib/psx/libcd/streamhelp            6      0      0   -G0 CANDIDATE
syslib/psx/libcd/toc                   2      0      0   -G0 CANDIDATE
syslib/psx/libds/DSCB                  2      0      0   -G0 CANDIDATE
syslib/psx/libetc/INTR                13      0      0   -G0 CANDIDATE
syslib/psx/libetc/INTR_DMA             4      0      0   -G0 CANDIDATE
syslib/psx/libetc/INTR_VB              4      0      0   -G0 CANDIDATE
syslib/psx/libetc/VMODE                2      0      0   -G0 CANDIDATE
syslib/psx/libetc/VSYNC                2      0      0   -G0 CANDIDATE
syslib/psx/libgpu/FONT                 2      0      0   -G0 CANDIDATE
syslib/psx/libgpu/P34                  1      0      0   -G0 CANDIDATE
syslib/psx/libgpu/SYS                 44      0      0   -G0 CANDIDATE
syslib/psx/libgte/COR_01               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/COR_02               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/COR_03               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/FGO_01               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/FGO_06               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/FOG_01               1      0      0   -G0 CANDIDATE
syslib/psx/libgte/PATCHGTE             2      0      0   -G0 CANDIDATE
syslib/psx/libmath/ADDDF3              1      0      0   -G0 CANDIDATE
syslib/psx/libmath/DIVDF3              2      0      0   -G0 CANDIDATE
syslib/psx/libmath/DIVSF3              1      0      0   -G0 CANDIDATE
syslib/psx/libmath/EXTSFDF2            1      0      0   -G0 CANDIDATE
syslib/psx/libmath/FERR                1      0      0   -G0 CANDIDATE
syslib/psx/libmath/FIXDFSI             1      0      0   -G0 CANDIDATE
syslib/psx/libmath/FIXSFSI             1      0      0   -G0 CANDIDATE
syslib/psx/libmath/FLTSIDF             1      0      0   -G0 CANDIDATE
syslib/psx/libmath/FLTSISF             1      0      0   -G0 CANDIDATE
syslib/psx/libmath/GTDF2               1      0      0   -G0 CANDIDATE
syslib/psx/libmath/LTDF2               1      0      0   -G0 CANDIDATE
syslib/psx/libmath/MULDF3              2      0      0   -G0 CANDIDATE
syslib/psx/libmath/MULSF3              1      0      0   -G0 CANDIDATE
syslib/psx/libmath/TRUDFSF2            1      0      0   -G0 CANDIDATE
syslib/psx/libmcrd/BIOS               18      0      0   -G0 CANDIDATE  (1 oracle files missing)
syslib/psx/libmcrd/LIBMCRD            26      0      0   -G0 CANDIDATE
syslib/psx/libmcrd/USERFUNC            4      0      0   -G0 CANDIDATE
syslib/psx/libpad/MCXMAIN              5      0      0   -G0 CANDIDATE
syslib/psx/libpad/PAD                  2      0      0   -G0 CANDIDATE
syslib/psx/libpad/PADCMD              19      0      0   -G0 CANDIDATE
syslib/psx/libpad/PADENTRY             8      0      0   -G0 CANDIDATE
syslib/psx/libpad/PADMAIN             11      0      0   -G0 CANDIDATE
syslib/psx/libpad/PADPORTD             8      0      0   -G0 CANDIDATE
syslib/psx/libpad/PADSEQD              5      0      0   -G0 CANDIDATE
syslib/psx/libpad/WAITRC2              2      0      0   -G0 CANDIDATE
syslib/psx/libpress/LIBPRESS          12      0      0   -G0 CANDIDATE
syslib/psx/libsn/READ                  1      0      0   -G0 CANDIDATE
syslib/psx/libsn/WRITE                 1      0      0   -G0 CANDIDATE
