module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/2mbyte/2mbyte           BASE                 2       3       1       2
syslib/psx/2mbyte/2mbyte           O1                   2       3       1       2
syslib/psx/2mbyte/2mbyte           nodelay              2       3       1       2
syslib/psx/2mbyte/2mbyte           nosched1             2       3       1       2
syslib/psx/2mbyte/2mbyte           nosched2             2       3       1       2
syslib/psx/2mbyte/2mbyte           G0                   2       3       1       2
syslib/psx/2mbyte/2mbyte           G8                   2       3       1       2
syslib/psx/2mbyte/2mbyte           nosplit              2       3       1       2
syslib/psx/libapi/COUNTER          BASE                 0       3      17       1
syslib/psx/libapi/COUNTER          O1                   0       3      49       1
syslib/psx/libapi/COUNTER          nodelay              0       3      47       1
syslib/psx/libapi/COUNTER          nosched1             0       3      43       1
syslib/psx/libapi/COUNTER          nosched2             0       3      21       1
syslib/psx/libapi/COUNTER          G0                   0       3      46       1
syslib/psx/libapi/COUNTER          G8                   0       3      17       1
syslib/psx/libapi/COUNTER          nosplit              0       3      10       1
syslib/psx/libapi/FIRST            BASE                 0       2     100       2
syslib/psx/libapi/FIRST            O1                   0       2     112       0
syslib/psx/libapi/FIRST            nodelay              0       2     182       0
syslib/psx/libapi/FIRST            nosched1             0       2     100       2
syslib/psx/libapi/FIRST            nosched2             0       2     102       2
syslib/psx/libapi/FIRST            G0                   0       2     109       1
syslib/psx/libapi/FIRST            G8                   0       2     100       2
syslib/psx/libapi/FIRST            nosplit              0       2      78       1
syslib/psx/libc/BSEARCH            BASE                 0       1      26       1
syslib/psx/libc/BSEARCH            O1                   0       1      38       1
syslib/psx/libc/BSEARCH            nodelay              0       1      38       0
syslib/psx/libc/BSEARCH            nosched1             0       1      30       1
syslib/psx/libc/BSEARCH            nosched2             0       1      38       1
syslib/psx/libc/BSEARCH            G0                   0       1      26       1
syslib/psx/libc/BSEARCH            G8                   0       1      26       1
syslib/psx/libc/BSEARCH            nosplit              0       1      26       1
syslib/psx/libc/MEMCMP             BASE                 0       1       6       0
syslib/psx/libc/MEMCMP             O1                   0       1      11       0
syslib/psx/libc/MEMCMP             nodelay              0       1      10       0
syslib/psx/libc/MEMCMP             nosched1             0       1       6       0
syslib/psx/libc/MEMCMP             nosched2             0       1       6       0
syslib/psx/libc/MEMCMP             G0                   0       1       6       0
syslib/psx/libc/MEMCMP             G8                   0       1       6       0
syslib/psx/libc/MEMCMP             nosplit              0       1       6       0
syslib/psx/libc/MEMMOVE            BASE                 0       1       2       1
syslib/psx/libc/MEMMOVE            O1                   0       1      29       0
syslib/psx/libc/MEMMOVE            nodelay              0       1      16       0
syslib/psx/libc/MEMMOVE            nosched1             0       1      27       0
syslib/psx/libc/MEMMOVE            nosched2             0       1       2       1
syslib/psx/libc/MEMMOVE            G0                   0       1       2       1
syslib/psx/libc/MEMMOVE            G8                   0       1       2       1
syslib/psx/libc/MEMMOVE            nosplit              0       1       2       1
syslib/psx/libc/QSORT              BASE                 1       2      70       2
syslib/psx/libc/QSORT              O1                   0       2      96       0
syslib/psx/libc/QSORT              nodelay              0       2     101       0
syslib/psx/libc/QSORT              nosched1             0       2      87       1
syslib/psx/libc/QSORT              nosched2             1       2      78       2
syslib/psx/libc/QSORT              G0                   1       2      70       2
syslib/psx/libc/QSORT              G8                   1       2      70       2
syslib/psx/libc/QSORT              nosplit              1       2      70       2
syslib/psx/libc/SPRINTF            BASE                 0       1     174       0
syslib/psx/libc/SPRINTF            O1                   0       1     336       0
syslib/psx/libc/SPRINTF            nodelay              0       1     397       0
syslib/psx/libc/SPRINTF            nosched1             0       1     218       0
syslib/psx/libc/SPRINTF            nosched2             0       1     188       0
syslib/psx/libc/SPRINTF            G0                   0       1     174       0
syslib/psx/libc/SPRINTF            G8                   0       1     174       0
syslib/psx/libc/SPRINTF            nosplit              0       1     159       0
syslib/psx/libcard/CARDINIT        BASE                 1       2       4       2
syslib/psx/libcard/CARDINIT        O1                   1       2       4       2
syslib/psx/libcard/CARDINIT        nodelay              1       2       3       1
syslib/psx/libcard/CARDINIT        nosched1             1       2       4       2
syslib/psx/libcard/CARDINIT        nosched2             1       2       4       2
syslib/psx/libcard/CARDINIT        G0                   1       2       4       2
syslib/psx/libcard/CARDINIT        G8                   1       2       4       2
syslib/psx/libcard/CARDINIT        nosplit              1       2       4       2
syslib/psx/libcd/TYPE              BASE                 0       2      59       0
syslib/psx/libcd/TYPE              O1                   0       2     112       2
syslib/psx/libcd/TYPE              nodelay              0       2     131       0
syslib/psx/libcd/TYPE              nosched1             0       2      67       0
syslib/psx/libcd/TYPE              nosched2             0       2      69       0
syslib/psx/libcd/TYPE              G0                   0       2      59       0
syslib/psx/libcd/TYPE              G8                   0       2      59       0
syslib/psx/libcd/TYPE              nosplit              0       2      61       0
syslib/psx/libcd/cdcont            BASE                10      19     281      11
syslib/psx/libcd/cdcont            O1                   6      19     381       7
syslib/psx/libcd/cdcont            nodelay              6      19     362       7
syslib/psx/libcd/cdcont            nosched1             9      19     336      12
syslib/psx/libcd/cdcont            nosched2             6      19     323       7
syslib/psx/libcd/cdcont            G0                  11      19     319      12
syslib/psx/libcd/cdcont            G8                  10      19     281      11
syslib/psx/libcd/cdcont            nosplit             10      19     286      11
syslib/psx/libcd/cdread            BASE                 0       6     264       1
syslib/psx/libcd/cdread            O1                   0       6     372       2
syslib/psx/libcd/cdread            nodelay              0       6     444       0
syslib/psx/libcd/cdread            nosched1             0       6     288       1
syslib/psx/libcd/cdread            nosched2             0       6     290       1
syslib/psx/libcd/cdread            G0                   0       6     275       1
syslib/psx/libcd/cdread            G8                   0       6     264       1
syslib/psx/libcd/cdread            nosplit              0       6     294       1
syslib/psx/libcd/cdread2           BASE                 1       2       5       1
syslib/psx/libcd/cdread2           O1                   1       2      11       1
syslib/psx/libcd/cdread2           nodelay              1       2      22       1
syslib/psx/libcd/cdread2           nosched1             1       2       5       1
