module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libgpu/SYS              BASE                13      44    1957      22
syslib/psx/libgpu/SYS              nosplit             14      44    1743      22
syslib/psx/libgpu/SYS              nosplitG0           14      44    1744      23
syslib/psx/libgpu/SYS              nosplitG8           14      44    1743      22
syslib/psx/libgpu/SYS              nosplit_nodelay       1      44    2223       5
syslib/psx/libgpu/SYS              nosplit_nosched2       7      44    1881      20
syslib/psx/libpad/PADMAIN          BASE                 1      11     667       3
syslib/psx/libpad/PADMAIN          nosplit              2      11     614       3
syslib/psx/libpad/PADMAIN          nosplitG0            2      11     616       4
syslib/psx/libpad/PADMAIN          nosplitG8            2      11     614       3
syslib/psx/libpad/PADMAIN          nosplit_nodelay       1      11     743       2
syslib/psx/libpad/PADMAIN          nosplit_nosched2       2      11     639       2
syslib/psx/libpad/PADENTRY         BASE                 5       8      72       6
syslib/psx/libpad/PADENTRY         nosplit              6       8      52       6
syslib/psx/libpad/PADENTRY         nosplitG0            6       8      52       6
syslib/psx/libpad/PADENTRY         nosplitG8            6       8      52       6
syslib/psx/libpad/PADENTRY         nosplit_nodelay       2       8     105       2
syslib/psx/libpad/PADENTRY         nosplit_nosched2       2       8     109       2
syslib/psx/libmcrd/BIOS            BASE                13      17      48      15
syslib/psx/libmcrd/BIOS            nosplit             13      17      20      15
syslib/psx/libmcrd/BIOS            nosplitG0           13      17      20      15
syslib/psx/libmcrd/BIOS            nosplitG8           13      17      20      15
syslib/psx/libmcrd/BIOS            nosplit_nodelay       2      17      92       3
syslib/psx/libmcrd/BIOS            nosplit_nosched2      11      17      23      12
syslib/psx/libmcrd/LIBMCRD         BASE                 2      26    1385       8
syslib/psx/libmcrd/LIBMCRD         nosplit              2      26    1329       5
syslib/psx/libmcrd/LIBMCRD         nosplitG0            2      26    1337       5
syslib/psx/libmcrd/LIBMCRD         nosplitG8            2      26    1329       5
syslib/psx/libmcrd/LIBMCRD         nosplit_nodelay       1      26    1689       1
syslib/psx/libmcrd/LIBMCRD         nosplit_nosched2       2      26    1365       4
syslib/psx/libetc/INTR             BASE                 7      13     237       8
syslib/psx/libetc/INTR             nosplit              7      13     186      10
syslib/psx/libetc/INTR             nosplitG0            7      13     171       9
syslib/psx/libetc/INTR             nosplitG8            7      13     186      10
syslib/psx/libetc/INTR             nosplit_nodelay       5      13     269       6
syslib/psx/libetc/INTR             nosplit_nosched2       3      13     220       5
syslib/psx/libmcrd/USERFUNC        BASE                 1       4      59       1
syslib/psx/libmcrd/USERFUNC        nosplit              1       4      14       2
syslib/psx/libmcrd/USERFUNC        nosplitG0            1       4      14       2
syslib/psx/libmcrd/USERFUNC        nosplitG8            1       4      14       2
syslib/psx/libmcrd/USERFUNC        nosplit_nodelay       0       4      23       0
syslib/psx/libmcrd/USERFUNC        nosplit_nosched2       1       4      28       1
syslib/psx/libgpu/FONT             BASE                 0       2     364       0
syslib/psx/libgpu/FONT             nosplit              0       2     330       0
syslib/psx/libgpu/FONT             nosplitG0            0       2     330       0
syslib/psx/libgpu/FONT             nosplitG8            0       2     330       0
syslib/psx/libgpu/FONT             nosplit_nodelay       0       2     434       0
syslib/psx/libgpu/FONT             nosplit_nosched2       0       2     338       0
syslib/psx/libapi/FIRST            BASE                 0       2     100       2
syslib/psx/libapi/FIRST            nosplit              0       2      78       1
syslib/psx/libapi/FIRST            nosplitG0            0       2      78       1
syslib/psx/libapi/FIRST            nosplitG8            0       2      78       1
syslib/psx/libapi/FIRST            nosplit_nodelay       0       2     166       0
syslib/psx/libapi/FIRST            nosplit_nosched2       0       2      76       1
syslib/psx/libpad/PADCMD           BASE                 9      19     450      10
syslib/psx/libpad/PADCMD           nosplit              9      19     430      10
syslib/psx/libpad/PADCMD           nosplitG0            9      19     432      10
syslib/psx/libpad/PADCMD           nosplitG8            9      19     430      10
syslib/psx/libpad/PADCMD           nosplit_nodelay       0      19     556       0
syslib/psx/libpad/PADCMD           nosplit_nosched2       3      19     489       8
syslib/psx/libcd/iso9660           BASE                 1       6     356       2
syslib/psx/libcd/iso9660           nosplit              1       6     339       3
syslib/psx/libcd/iso9660           nosplitG0            1       6     338       3
syslib/psx/libcd/iso9660           nosplitG8            1       6     339       3
syslib/psx/libcd/iso9660           nosplit_nodelay       0       6     545       0
syslib/psx/libcd/iso9660           nosplit_nosched2       0       6     387       2
syslib/psx/libc/SPRINTF            BASE                 0       1     174       0
syslib/psx/libc/SPRINTF            nosplit              0       1     159       0
syslib/psx/libc/SPRINTF            nosplitG0            0       1     159       0
syslib/psx/libc/SPRINTF            nosplitG8            0       1     159       0
syslib/psx/libc/SPRINTF            nosplit_nodelay       0       1     381       0
syslib/psx/libc/SPRINTF            nosplit_nosched2       0       1     173       0
syslib/psx/libapi/COUNTER          BASE                 0       3      17       1
syslib/psx/libapi/COUNTER          nosplit              0       3      10       1
syslib/psx/libapi/COUNTER          nosplitG0            0       3      10       1
syslib/psx/libapi/COUNTER          nosplitG8            0       3      10       1
syslib/psx/libapi/COUNTER          nosplit_nodelay       0       3      40       1
syslib/psx/libapi/COUNTER          nosplit_nosched2       0       3      18       1
syslib/psx/libetc/INTR_VB          BASE                 0       1      11       0
syslib/psx/libetc/INTR_VB          nosplit              0       1       5       0
syslib/psx/libetc/INTR_VB          nosplitG0            0       1       5       0
syslib/psx/libetc/INTR_VB          nosplitG8            0       1       5       0
syslib/psx/libetc/INTR_VB          nosplit_nodelay       0       1       8       0
syslib/psx/libetc/INTR_VB          nosplit_nosched2       0       1       9       0
syslib/psx/libpress/LIBPRESS       BASE                 5      12      82      11
syslib/psx/libpress/LIBPRESS       nosplit              5      12      76       9
syslib/psx/libpress/LIBPRESS       nosplitG0            5      12      90       9
syslib/psx/libpress/LIBPRESS       nosplitG8            5      12      76       9
syslib/psx/libpress/LIBPRESS       nosplit_nodelay       2      12     108       3
syslib/psx/libpress/LIBPRESS       nosplit_nosched2       2      12     109       6
syslib/psx/libcd/toc               BASE                 0       2      93       1
syslib/psx/libcd/toc               nosplit              0       2      89       1
syslib/psx/libcd/toc               nosplitG0            0       2      89       1
syslib/psx/libcd/toc               nosplitG8            0       2      89       1
syslib/psx/libcd/toc               nosplit_nodelay       0       2     121       0
syslib/psx/libcd/toc               nosplit_nosched2       0       2      94       2
syslib/psx/libgte/COR_01           BASE                 0       1      76       0
syslib/psx/libgte/COR_01           nosplit              0       1      72       0
syslib/psx/libgte/COR_01           nosplitG0            0       1      72       0
syslib/psx/libgte/COR_01           nosplitG8            0       1      72       0
syslib/psx/libgte/COR_01           nosplit_nodelay       0       1      74       0
syslib/psx/libgte/COR_01           nosplit_nosched2       0       1      72       0
syslib/psx/libpad/PADPORTD         BASE                 2       8     360       4
syslib/psx/libpad/PADPORTD         nosplit              2       8     358       4
syslib/psx/libpad/PADPORTD         nosplitG0            2       8     358       4
syslib/psx/libpad/PADPORTD         nosplitG8            2       8     358       4
syslib/psx/libpad/PADPORTD         nosplit_nodelay       1       8     412       1
syslib/psx/libpad/PADPORTD         nosplit_nosched2       2       8     366       4
syslib/psx/libcd/event             BASE                 0       5      64       4
syslib/psx/libcd/event             nosplit              0       5      63       4
syslib/psx/libcd/event             nosplitG0            0       5      57       4
syslib/psx/libcd/event             nosplitG8            0       5      63       4
syslib/psx/libcd/event             nosplit_nodelay       0       5      62       0
syslib/psx/libcd/event             nosplit_nosched2       0       5      57       4
syslib/psx/libetc/VSYNC            BASE                 0       2      53       1
syslib/psx/libetc/VSYNC            nosplit              0       2      52       0
syslib/psx/libetc/VSYNC            nosplitG0            0       2      52       0
syslib/psx/libetc/VSYNC            nosplitG8            0       2      52       0
syslib/psx/libetc/VSYNC            nosplit_nodelay       0       2      60       0
syslib/psx/libetc/VSYNC            nosplit_nosched2       0       2      65       0
