# phantom-signature census (08A) -- regenerated; replaces the lost sweep_final2.txt
# CLASS	BASE	PHANTOM_MANGLING	REAL_SYMBOL	REFERENCING_OBJS
MEMBER	AddCarToIngameList	AddCarToIngameList__Fe	AddCarToIngameList__11tCarManagerR10tCarModelsRc	front.cpp.o
MEMBER	AddToPinkSlipsList	AddToPinkSlipsList__Fe	AddToPinkSlipsList__11tCarManagersss	femenudefs.cpp.o
MEMBER	AddUpgradesToPinkSlipsList	AddUpgradesToPinkSlipsList__Fe	AddUpgradesToPinkSlipsList__11tCarManagersss	femenudefs.cpp.o
MEMBER	AdvanceToNextTrack	AdvanceToNextTrack__Fe	AdvanceToNextTrack__18tTournamentManager	front.cpp.o
FREE	CalcOnOffFade	CalcOnOffFade__Fe	CalcOnOffFade__F13tMenuTextTypesssRiT4	femenuextended.cpp.o,femenuoptions.cpp.o
MEMBER	CalcTrackFinishDamageBill	CalcTrackFinishDamageBill__Fe	CalcTrackFinishDamageBill__18tTournamentManagerbRlT2	screenpost.cpp.o
MEMBER	CalcUsedPrice	CalcUsedPrice__Fe	CalcUsedPrice__11tCarManagers	femenudefs.cpp.o,screencarselect.cpp.o
MEMBER	CheapestCarStockPrice	CheapestCarStockPrice__Fe	CheapestCarStockPrice__11tCarManager	femenudefs.cpp.o,front.cpp.o,screencarselect.cpp.o
MEMBER	Decrement	Decrement__Fe	Decrement__13tListIterator7tPlayer	femenudefs.cpp.o
MEMBER	Display	Display__Fe	Display__11tDialogBase	femenudefs.cpp.o
FREE	DrawShape_NFS4Rectangle	DrawShape_NFS4Rectangle__Fe	DrawShape_NFS4Rectangle__FR4RECT	screencarselect.cpp.o
FREE	DrawShape_NFS4RoundRectangle	DrawShape_NFS4RoundRectangle__Fe	DrawShape_NFS4RoundRectangle__FiR4RECTs	femenuextended.cpp.o
FREE	DrawShape_NFS4TransRectangle	DrawShape_NFS4TransRectangle__Fe	DrawShape_NFS4TransRectangle__FR4RECTs	screencarselect.cpp.o
FREE	DrawShape_SubtractNFS4RectEdges	DrawShape_SubtractNFS4RectEdges__Fe	DrawShape_SubtractNFS4RectEdges__FR4RECT	femenuextended.cpp.o
FREE	Draw_MenuRenderingView	Draw_MenuRenderingView__Fe	Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii	screencarselect.cpp.o
