symbols: ours 5252 retail objects 156
object                      retail_fn nsym  symbol address deltas ours-retail (distinct, first 6)
fei                                 -    1  ['-0xc3d4']
aidebug                             -    3  ['-0x1221c', '-0x11ef0']
drawdbg                             -    1  ['-0x12150']
fecolor                             -    1  ['-0x2720']
minfront                   0x800128f0    1  ['+0xce590']
fe3dmenu                   0x80012938    8  ['+0xce590', '+0xd1810', '+0xd18dc', '+0xd1954', '+0xd1b84', '+0xd1c04']
feapp                      0x80012fa0   18  ['-0x2704', '-0x2440']
feaudio                    0x80015780   17  ['-0x2708', '-0x2440']
fecars                     0x800161b0   48  ['-0x270c', '-0x2440']
fedialog                   0x800186c8   33  ['-0x2818', '-0x2440']
femenuextended             0x80019fe8   58  ['-0x2818', '-0x2444']
femenuoptions              0x8001bf48   94  ['-0x2710', '-0x2444']
fetextrender               0x80020cd8   19  ['-0x2714', '-0x2444', '+0xbaf18']
fetracks                   0x80021a10   17  ['-0x2718', '-0x2448']
fetv                       0x80021ff8    5  ['-0x2448']
fecheats                   0x80023240   10  ['-0x244c']
feinput                    0x80023898    6  ['-0x2810', '-0x2720', '-0x244c']
femenu                     0x80023dd0   74  ['-0x2724', '-0x244c']
fescreen                   0x80025ab8   28  ['-0x272c', '-0x244c']
fetools                    0x800268f0   11  ['-0x272c', '-0x244c']
front                      0x80026e58   54  ['-0x2730', '-0x2450']
femenudefs                 0x8002c0e0   81  ['-0x2738', '-0x264c', '-0x2454']
fetourn                    0x80032228   35  ['-0x2454']
femission                  0x80034060    5  ['-0x2458']
fememcard                  0x800342a0   25  ['-0x2810', '-0x2738', '-0x2458']
fecredits                  0x80035ae8    8  ['-0x2738', '-0x245c']
fevideowall                0x80036790   12  ['-0x245c']
screenmain                 0x80036f20   17  ['-0x2810', '-0x2738', '-0x2460']
screenpinkslips            0x80038b68   10  ['-0x2810', '-0x2740', '-0x2464']
screenpost                 0x800397f0   16  ['-0x273c', '-0x2468']
screencarselect            0x8003a8f0   69  ['-0x2838', '-0x2810', '-0x2740', '-0x246c']
screentournselect          0x8003f778   11  ['-0x28a0', '-0x2744', '-0x246c']
screentrophyroom           0x80040570   11  ['-0x2744', '-0x246c', '-0x1c74']
screentrophyinfo           0x80041008    6  ['-0x2748', '-0x2470']
screentracks               0x80041600   12  ['-0x28b0', '-0x274c', '-0x2470']
screentrackinfo            0x800421f8    7  ['-0x28c8', '-0x274c', '-0x2474']
screentrackrecords         0x80042648    8  ['-0x274c', '-0x2474']
screencontroller           0x80043118   27  ['-0x2750', '-0x2474']
screendisplay              0x80045950    4  ['-0x2754', '-0x2474']
screenaudio                0x80045a28    9  ['-0x2758', '-0x2478']
screenmemcard              0x80046320   34  ['-0x275c', '-0x247c']
screencongrats             0x80047e60   34  ['-0x2764', '-0x2480']
statchk                    0x80049840    7  ['-0x2768', '-0x2480']
stattool                   0x8004a868   13  ['-0x276c', '-0x2484']
screenusername             0x8004af88   10  ['-0x276c', '-0x2484']
fefades                    0x8004b7f8    6  ['-0x2488']
felines                    0x8004bb38    2  ['-0x248c']
drawshp                    0x8004be00    5  ['-0x2770', '-0x2490']
movie                      0x8004c608   25  ['-0x2494', '+0xd0394', '+0xd0424', '+0xd0428', '+0xd0434', '+0xd043e']
mmeffect                   0x8004d6d8    1  ['-0x2498']
psxfront                   0x8004d778   29  ['-0x249c', '+0xd0348', '+0xd0360', '+0xd0374', '+0xd0598']
fetexture                  0x8004f100    2  ['-0x24a0']
memcard                    0x8004f3e0   26  ['-0x2878', '-0x2808', '-0x24a4']
mdec                       0x800508c0    8  ['-0x24a4', '+0xd02b4', '+0xd02e0']
video                      0x80050cc8    9  ['-0x24a8']
ai                         0x8005797c   46  ['-0x11ec8', '-0xc384', '-0x1e28']
aidelaycar                 0x8005aa28    3  ['-0x1e28']
aihigh                     0x8005ad94   16  ['-0x11ec8', '-0xc384', '-0x1e28']
aih_basicperp              0x8005b500   14  ['-0xc384', '-0x1e28']
aih_basiccop               0x8005c164    9  ['-0x1e28']
aih_btccop                 0x8005cb6c   42  ['-0xc384', '-0x5fdc', '-0x1e28']
aih_btcperp                0x8005f6b4   28  ['-0xc384', '-0x7d38', '-0x7d28', '-0x3b74', '-0x1e28']
aih_play                   0x80061400   12  ['-0x11ec8', '-0xc384', '-0x1e28']
aih_hum                    0x80063270    3  ['-0x1e28']
aih_opp                    0x80063308    6  ['-0x1e28']
aih_cop                    0x80063c00   14  ['-0xc384', '-0x1e28']
aih_traf                   0x80065c8c    6  ['-0x1e28']
aicop                      0x800669ac   15  ['-0x11ec4', '-0xc384', '-0x1e28']
aiinit                     0x80066bb0   21  ['-0x11ec4', '-0xc384', '-0x1e28']
ailife                     0x80067650   20  ['-0x1e28']
aiperson                   0x800689e8   28  ['-0xc384', '-0x1e28']
aiphysic                   0x80069238   46  ['-0x11ed0', '-0xc3a4', '-0x1e28']
aidatarecord               0x8006ce24   31  ['-0x121dc', '-0x11ed0', '-0x1e28']
aispeeds                   0x8006d5b4   46  ['-0x11ed0', '-0xc3a4', '-0x1e28']
aiscript                   0x8006f6f8    8  ['-0x1e28']
aistate                    0x8006f9a4   53  ['-0x19194', '-0x14f54', '-0x1220c', '-0x1e28']
aitriger                   0x8007286c   12  ['-0x11ed0', '-0x1e28']
aitune                     0x80072e68   17  ['-0x11ed0', '-0xc3a4', '-0x1e28']
aiworld                    0x80072f90   23  ['-0xc3a4', '-0x1e28']
anim                       0x80073a94   21  ['-0xc3a4', '-0x1e28']
audioclc                   0x80074730   30  ['-0x11ed8', '-0xc3a4', '-0x1e28']
audiocmn                   0x80076420  113  ['-0x11ed8', '-0xc3a4', '-0x1e28']
audiomus                   0x80079ef4   24  ['-0x11ed8', '-0x1e28']
audedit                    0x8007b52c    3  ['-0x11ee0', '-0x1e28']
audioeng                   0x8007b5a8   10  ['-0x11ec8', '-0x1e28']
audiotrk                   0x8007c614    7  ['-0x11ee0', '-0x1e28']
bworld                     0x8007d5c4   38  ['-0x11ee0', '-0xc3a4', '-0x1e28']
bworldsm                   0x8007e910   37  ['-0x11ee0', '-0xc3d4', '-0x1e28']
camera                     0x8008060c   45  ['-0x121a0', '-0x11ee0', '-0xc3d4', '-0x1e28']
cars                       0x80085d84   58  ['-0x11ee0', '-0xc3d4', '-0x1e28']
chunk                      0x8008b3fc    6  ['-0x11ee0', '-0x1e28']
clock                      0x8008b938    6  ['-0x11ee0', '-0xc3d4', '-0x1e28']
collide                    0x8008ba70   30  ['-0x12214', '-0x121a0', '-0x11ee0', '-0xc3d4', '-0x1e28']
color                      0x80091ec0    2  ['-0x1e28']
control                    0x80091fdc    2  ['-0x1e28']
hudpmx                     0x80092464    8  ['-0x12214', '-0xc3d4', '-0x1e28']
speech                     0x80092f54  166  ['-0xc3d4', '-0x31bc', '+0x8e97c', '+0x8ea30', '+0x8ea6c', '+0x8eb64']
copspeak                   0x800993dc   48  ['-0x11ee0', '-0xc3d4', '-0x31bc']
dashhud                    0x8009aebc    7  ['-0xc3d4', '-0x31bc']
fastrand                   0x8009b3c8    6  ['-0x11ee0', '-0x31bc']
genericpmx                 0x8009b458   21  ['-0x11ee0', '-0xc3d4', '-0x31bc']
gmesetup                   0x8009bd9c    6  ['-0xc3d4', '-0x31bc']
group                      0x8009c128    6  ['-0x31bc']
input                      0x8009c344   17  ['-0x11ee0', '-0xc3d4', '-0x31bc']
mathnfs                    0x8009d3e4   10  ['-0x31bc']
mpause                     0x8009ded4   20  ['-0x12214', '-0x121a0', '-0x11ee0', '-0x31bc']
newton                     0x8009ef2c   37  ['-0xc3d4', '-0x31bc']
new                        0x800a3d5c    5  ['-0x11ee0', '-0x31bc']
nfs3                       0x800a3dec   36  ['-0x11ee0', '-0xc3d4', '-0x31bc']
object                     0x800a4ae4   45  ['-0x11ee0', '-0xc3d4', '-0x31bc']
paths                      0x800a6e14    5  ['-0x11ee0', '-0xc3d4', '-0x31bc']
pausemenu                  0x800a6e60   62  ['-0x12214', '-0x11ee0', '-0x31bc']
physics                    0x800a86c8   40  ['-0x11ee0', '-0xc3d4', '-0x31bc']
quatern                    0x800ad5c8    4  ['-0x31bc']
r3dcar                     0x800adc2c   62  ['-0x11ee0', '-0xc3d4', '-0x31bc']
render                     0x800b30ac   34  ['-0x11ee0', '-0xc3d4', '-0x31bc']
replay                     0x800b3c4c   30  ['-0x11ee0', '-0x118a0', '-0x31bc', '+0xbeac', '+0xc2f0', '+0xc410']
scene                      0x800b5f7c    7  ['-0x11ee8', '-0x31bc']
schedule                   0x800b61bc   11  ['-0x133a8', '-0x31bc']
sim                        0x800b6574   15  ['-0x133a8', '-0x11ee8', '-0x31bc']
simplemem                  0x800b7250    3  ['-0x31bc']
simqueue                   0x800b72ec   12  ['-0x1221c', '-0x11ee8', '-0x31bc']
souffle                    0x800b764c   14  ['-0x11ef0', '-0x31bc']
stats                      0x800b7f58    8  ['-0x133a8', '-0x31bc']
textsys                    0x800b9158   10  ['-0x133a8', '-0x11ef0', '-0x31b8']
track                      0x800b92f8   50  ['-0x1221c', '-0x11ef0', '-0x31b8', '+0xbe94']
trgsfx                     0x800bb068   21  ['-0x11ef0', '-0x31b8', '+0xbc54', '+0xbd54', '+0xbe54', '+0xc314']
udff                       0x800bba08    4  ['-0x31b8']
audio                      0x800bbb84    9  ['-0x1a730', '-0x11ef0', '-0x31b8']
cario                      0x800bbf10   24  ['-0x1a944', '-0x12108', '-0x31b8', '+0x3d8c', '+0x3e90', '+0x3e98']
device                     0x800bd3c0   17  ['-0x12128', '-0x31b8', '+0x3ef4']
draw                       0x800bdac0   36  ['-0x1221c', '-0x12128', '-0x31b8', '+0x39b0', '+0x3ee0']
drawc                      0x800be6d0   36  ['-0x32a48', '-0x32a18', '-0x12150', '-0x12148', '-0x31b8', '+0x361c']
draww                      0x800c5028   47  ['-0x147b0', '-0x12150', '-0x31b8']
force                      0x800ca998   15  ['-0x147b0', '-0x12150', '-0x31b8']
font                       0x800cb20c   25  ['-0x1221c', '-0x12150', '-0x31b8', '+0x302c', '+0x30b8']
flare                      0x800cbcb0   48  ['-0x14820', '-0x12150', '-0x31b8']
hrzsku                     0x800cf574   38  ['-0x14820', '-0x123c8', '-0x1221c', '-0x12150', '-0x31b8']
hud                        0x800d1a80  118  ['-0x14820', '-0x123c8', '-0x1221c', '-0x12150', '-0x31b8']
overlays                   0x800d9968    8  ['-0x1ac94', '-0x12150', '-0x31b8', '-0x31b4', '+0x1d80']
loading                    0x800db0b8    5  ['-0x12180', '-0x31a4']
night                      0x800db318   53  ['-0x14978', '-0x14968', '-0x12180', '-0x31a4']
platform                   0x800dc2b8   14  ['-0x12180', '-0x31a4']
psxcontroller              0x800dc4cc    5  ['-0x31a4', '+0x2020']
rpause                     0x800dcec4    3  ['-0x31a4']
sfx                        0x800dd050    7  ['-0x31a4']
skidmark                   0x800de6f4   15  ['-0x12188', '-0x31a4']
texture                    0x800df5b4   39  ['-0x14b4c', '-0x12188', '-0x31a4']
textureprocess             0x800e0884   25  ['-0x12198', '-0x31a4', '-0x528', '-0x3bc', '+0x1d54']
trackspec                  0x800e1544    9  ['-0x12198', '-0x31a4', '-0x560']
trsproj                    0x800e192c   12  ['-0x12198', '-0x31a4']
weather                    0x800e1dc0   54  ['-0x1221c', '-0x12198', '-0x31a4', '-0x6d0', '-0x6b0', '-0x668']
textpix                    0x800e3d8c    2  ['-0x31a4']
textpsx                    0x800e3e40    3  ['-0x31a4']
unpack                     0x800e3e68    4  ['-0x31a4']
pad                        0x800e40e8    7  ['-0x12354', '-0x12350', '-0x2bb8']
