start_record	end_record	start_va	end_va	start_line	end_line	function	function_va	match_status	disposition
0x0316c1	0x0316ca	0x8005797c	0x8005797c	1	1	AI_StartUp__Fv	0x8005797c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03171f	0x031728	0x80057984	0x80057984	1	1	AI_CleanUp__Fv	0x80057984	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031787	0x031790	0x8005798c	0x8005798c	1	1	AI_Main_OverallSetup__Fv	0x8005798c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031812	0x03181b	0x80057994	0x80057994	1	1	AI_CarAvoidance__FP8Car_tObj	0x80057994	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03189f	0x0318a8	0x800579d8	0x800579d8	1	1	AI_WorldAvoidance__FP8Car_tObj	0x800579d8	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031928	0x031931	0x80057a24	0x80057a24	1	1	AI_InitAIInfo__FP8Car_tObj	0x80057a24	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0319b8	0x0319c1	0x80057a6c	0x80057a6c	1	1	AI_GenericBeginCycle__FP8Car_tObj	0x80057a6c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031a43	0x031a4c	0x80057a94	0x80057a94	1	1	AI_GenericCycle__FP8Car_tObj	0x80057a94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031ad1	0x031ada	0x80057ae8	0x80057ae8	1	1	AI_GenericEndCycle__FP8Car_tObj	0x80057ae8	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031b6d	0x031b76	0x80057b1c	0x80057b64	1	14	AI_TargetLane__FP8Car_tObji	0x80057b1c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031bdc	0x031bf4	0x80057b6c	0x80057b8c	3	4	AI_ClearLaneMerits__Fv	0x80057b6c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031bd3	0x031bfd	0x80057b6c	0x80057b8c	1	4	AI_ClearLaneMerits__Fv	0x80057b6c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031ccf	0x031ced	0x80057d0c	0x80057d58	43	53	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031cc6	0x031cf6	0x80057cd8	0x80057d58	36	53	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031ca4	0x031cff	0x80057cd8	0x80057d58	34	53	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031c9b	0x031d08	0x80057cb8	0x80057d58	33	53	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031d1a	0x031d63	0x80057d74	0x80057dc0	58	67	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031d11	0x031d6c	0x80057d58	0x80057dc0	57	67	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031c7e	0x031d75	0x80057b94	0x80057dc0	1	67	AI_DoReactions__FP8Car_tObj	0x80057b94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031e26	0x031e48	0x80057dd4	0x80057ff4	1	38	AI_CheckForPlayerActions__FP8Car_tObjT0	0x80057dd4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031ef5	0x031f22	0x80058040	0x800580b0	6	24	AI_DoReactionsAndBehavior__FP8Car_tObj	0x80058014	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031eec	0x031f2b	0x80058014	0x800580bc	1	27	AI_DoReactionsAndBehavior__FP8Car_tObj	0x80058014	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031ed4	0x031f34	0x80058014	0x800580bc	1	27	AI_DoReactionsAndBehavior__FP8Car_tObj	0x80058014	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x031fe3	0x032020	0x800580d8	0x800582b8	1	56	AI_OpponentBlockPlayer__FP8Car_tObjT0	0x800580d8	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0321d3	0x0321f4	0x80058564	0x8005865c	48	64	AI_CheckForBarriers__FP8Car_tObj	0x800582d4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0321ca	0x0321fd	0x8005854c	0x80058664	43	67	AI_CheckForBarriers__FP8Car_tObj	0x800582d4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0321c1	0x032206	0x80058510	0x80058664	39	67	AI_CheckForBarriers__FP8Car_tObj	0x800582d4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0321b8	0x03220f	0x80058500	0x80058664	38	67	AI_CheckForBarriers__FP8Car_tObj	0x800582d4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0320a6	0x032218	0x800582d4	0x80058664	1	67	AI_CheckForBarriers__FP8Car_tObj	0x800582d4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0322a7	0x0322cf	0x80058694	0x800587dc	1	31	AI_SetupOncomingLaneDemerits__FP8Car_tObj	0x80058694	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03235b	0x0323cc	0x800587ec	0x8005894c	1	30	AI_HandleChangeInNumLanes__FP8Car_tObj	0x800587ec	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03249c	0x0324ba	0x80058b34	0x80058c0c	36	46	AI_HandleShouldersAndOffRoad__FP8Car_tObj	0x8005895c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032493	0x0324c3	0x80058afc	0x80058c0c	35	46	AI_HandleShouldersAndOffRoad__FP8Car_tObj	0x8005895c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03245b	0x0324cc	0x8005895c	0x80058d18	1	56	AI_HandleShouldersAndOffRoad__FP8Car_tObj	0x8005895c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032738	0x03277e	0x80058ef0	0x8005907c	89	145	AI_CalculateLaneSpeeds__FP8Car_tObj	0x80058d20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03272f	0x032787	0x80058ec8	0x8005907c	88	145	AI_CalculateLaneSpeeds__FP8Car_tObj	0x80058d20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032726	0x032790	0x80058dbc	0x8005907c	51	145	AI_CalculateLaneSpeeds__FP8Car_tObj	0x80058d20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03271d	0x032799	0x80058d20	0x80059084	1	148	AI_CalculateLaneSpeeds__FP8Car_tObj	0x80058d20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032555	0x0327a2	0x80058d20	0x80059084	1	148	AI_CalculateLaneSpeeds__FP8Car_tObj	0x80058d20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
