record_offset	va	opcode	sld_file	sld_line	function	function_va	match_status	disposition	decoded_body
0x02503d	0x80054d90	0x88	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	11			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Set SLD to line 11 of file C:\NFS4\FRONTEND\PSX\ADDRESS.ASM
0x025067	0x80054d90	0x80	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	12			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum (to 12)
0x02506c	0x80054d90	0x82	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	12			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum by byte 0 (to 12)
0x025072	0x80054d90	0x80	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	13			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum (to 13)
0x025077	0x80054d90	0x82	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	13			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum by byte 0 (to 13)
0x02507d	0x80054d94	0x80	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	14			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum (to 14)
0x025082	0x80054d94	0x82	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	14			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum by byte 0 (to 14)
0x025088	0x80054d98	0x80	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	15			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum (to 15)
0x02508d	0x80054d98	0x82	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	15			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum by byte 0 (to 15)
0x025093	0x80054d98	0x80	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	16			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum (to 16)
0x025098	0x80054d98	0x82	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	16			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	Inc SLD linenum by byte 0 (to 16)
0x02509e	0x80054d98	0x8a	C:\NFS4\FRONTEND\PSX\ADDRESS.ASM	16			OUTSIDE_FUNCTION	NONFUNCTION_SLD_REVIEW	End SLD info
0x02f670	0x8005797c	0x88	C:\nfs4\GAME\COMMON\AI.CPP	135	AI_StartUp__Fv	0x8005797c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Set SLD to line 135 of file C:\nfs4\GAME\COMMON\AI.CPP
0x02f694	0x8005797c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	135	AI_StartUp__Fv	0x8005797c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 135)
0x02f69a	0x8005797c	0x80	C:\nfs4\GAME\COMMON\AI.CPP	136	AI_StartUp__Fv	0x8005797c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum (to 136)
0x02f69f	0x8005797c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	136	AI_StartUp__Fv	0x8005797c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 136)
0x02f6a5	0x80057984	0x82	C:\nfs4\GAME\COMMON\AI.CPP	136	AI_CleanUp__Fv	0x80057984	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 136)
0x02f6ab	0x80057984	0x82	C:\nfs4\GAME\COMMON\AI.CPP	138	AI_CleanUp__Fv	0x80057984	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 2 (to 138)
0x02f6b1	0x80057984	0x82	C:\nfs4\GAME\COMMON\AI.CPP	138	AI_CleanUp__Fv	0x80057984	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 138)
0x02f6b7	0x80057984	0x80	C:\nfs4\GAME\COMMON\AI.CPP	139	AI_CleanUp__Fv	0x80057984	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum (to 139)
0x02f6bc	0x80057984	0x82	C:\nfs4\GAME\COMMON\AI.CPP	139	AI_CleanUp__Fv	0x80057984	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 139)
0x02f6c2	0x8005798c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	139	AI_Main_OverallSetup__Fv	0x8005798c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 139)
0x02f6c8	0x8005798c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	157	AI_Main_OverallSetup__Fv	0x8005798c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 18 (to 157)
0x02f6ce	0x8005798c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	157	AI_Main_OverallSetup__Fv	0x8005798c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 157)
0x02f6d4	0x8005798c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	162	AI_Main_OverallSetup__Fv	0x8005798c	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 5 (to 162)
0x02f6da	0x80057994	0x82	C:\nfs4\GAME\COMMON\AI.CPP	162	AI_CarAvoidance__FP8Car_tObj	0x80057994	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 162)
0x02f6e0	0x80057994	0x82	C:\nfs4\GAME\COMMON\AI.CPP	169	AI_CarAvoidance__FP8Car_tObj	0x80057994	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 7 (to 169)
0x02f6e6	0x80057994	0x82	C:\nfs4\GAME\COMMON\AI.CPP	169	AI_CarAvoidance__FP8Car_tObj	0x80057994	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 169)
0x02f6ec	0x8005799c	0x82	C:\nfs4\GAME\COMMON\AI.CPP	169	AI_CarAvoidance__FP8Car_tObj	0x80057994	PASS	BINARY_ORDER_EXACT_SOURCE_SEMANTICS_REVIEW	Inc SLD linenum by byte 0 (to 169)
