source	owner	status	retail_named	named_exact	named_missing	named_mismatch	retail_anonymous	anonymous_covered	retail_typedefs	typedefs_covered	source_extra_named	retail_duplicate_named	source_extra_anonymous	source_extra_typedefs	retail_duplicate_typedefs	source_duplicate_typedefs	detail
recon/game/psx/audio.cpp	audio.obj	OK	80	80	0	0	2	2	172	138	0	1	0	0	40	13	retail_duplicate_named=BO_tNewtonObjx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,DRender_tCalcView:STRUCTx1,Cars_tRenderInfo:STRUCTx1,Car_tStats:STRUCTx1,GameSetup_tCarData:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,Car_tSpecs:STRUCTx1; retail_duplicate_typedefs=40; source_duplicate_typedefs=13
recon/game/psx/cario.cpp	CarIO.obj	OK	72	72	0	0	2	2	197	162	0	1	0	0	76	52	retail_duplicate_named=BO_tNewtonObjx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,CarIO_textureInfo:STRUCTx2,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,DRender_tCalcView:STRUCTx1,Cars_tRenderInfo:STRUCTx1,Car_tStats:STRUCTx1,GameSetup_tCarData:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,Car_tSpecs:STRUCTx1; retail_duplicate_typedefs=76; source_duplicate_typedefs=52
recon/game/psx/device.cpp	device.obj	OK	88	88	0	0	2	2	226	151	0	2	0	0	81	13	retail_duplicate_named=BO_tNewtonObjx1,tMenux1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,tOwnedCarInfo:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tListIterator:STRUCTx5,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Sched_tSchedule:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx15,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx15,DRender_tCalcView:STRUCTx1; retail_duplicate_typedefs=81; source_duplicate_typedefs=13
recon/game/psx/draw.cpp	Draw.obj	OK	42	42	0	0	2	2	117	99	0	1	0	0	35	28	retail_duplicate_named=TCBx1; typedef_count_missing=COORD16:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Draw_tCacheHeader:STRUCTx1,dflip:STRUCTx2,GameSetup_tPerpData:STRUCTx1,GameSetup_tControllerData:STRUCTx1,DRender_tCalcView:STRUCTx1,GameSetup_tCarData:STRUCTx1,Draw_tView:STRUCTx3,GameSetup_tUserSetting:STRUCTx1,Draw_DCache:STRUCTx1; retail_duplicate_typedefs=35; source_duplicate_typedefs=28
recon/game/psx/drawc.cpp	DrawC.obj	DIFF	105	105	0	0	2	2	389	330	441	3	10	499	224	506	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuTextState,tMenuTextType,tPMenuCommandType; retail_duplicate_named=TCBx1,BO_tNewtonObjx1,tMenux1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,DrawC_tEnvMap:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx3,Draw_tVertex:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,FLARE_PIECE_DEF:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Sched_tSchedule:STRUCTx1,Car_tControl:STRUCTx1,Skidmark_Segment:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx11,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx5,DRender_tCalcView:STRUCTx1; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,FEMATRIX:ARY ARY INT,FEVECTOR:ARY INT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,s_type:ENUM,stateType_t:ENUM,tAppCommand:ENUM,tCarClassType:ENUM; retail_duplicate_typedefs=224; source_duplicate_typedefs=506
recon/game/psx/draww.cpp	DrawW.obj	DIFF	120	120	0	0	2	2	424	367	427	4	10	486	245	594	named_extra=AICop_RoadBlockState,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarModels,tCarNameLength,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuCommandType,tMenuTextState; retail_duplicate_named=TCBx1,BO_tNewtonObjx1,AIDataRecord_AccTable_tx1,AIDataRecord_CurveSpeedTable_tx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=Transformer_zUV:STRUCTx1,CNightSpec:STRUCTx1,ObjectFinishedMultiAnim:STRUCTx3,Transformer_zOverlay:STRUCTx1,Trk_Line:STRUCTx1,Trk_ObjectDef:STRUCTx2,COORD16:STRUCTx1,CDepthCueSpec:STRUCTx1,CWeatherSpec:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,tQuat:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Trk_AnimateInst:STRUCTx2,CFogSpec:STRUCTx1,CWorldColor:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,FLARE_PIECE_DEF:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,AnimScript:STRUCTx1,Draw_tCacheHeader:STRUCTx1,Trk_SimObject:STRUCTx2,Trk_SimpleInst:STRUCTx1,Sched_tSchedule:STRUCTx1,Skidmark_Segment:STRUCTx1,Transformer_zObj:STRUCTx1,Trk_CollideBoomInst:STRUCTx3,CHorizonSpec:STRUCTx1,ObjectFinishedSignAnim:STRUCTx3,GameSetup_tPerpData:STRUCTx1; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,FEVECTOR:ARY INT,tItemList:ARY PTR STRUCT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,s_type:ENUM,stateType_t:ENUM,tAppCommand:ENUM; retail_duplicate_typedefs=245; source_duplicate_typedefs=594
recon/game/psx/fe3dmenu.cpp	fe3dmenu.obj	OK	84	84	0	0	2	2	223	178	0	2	0	0	90	52	retail_duplicate_named=TCBx1,BO_tNewtonObjx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx2,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,coorddef:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Sched_tSchedule:STRUCTx1,Car_tControl:STRUCTx1,Skidmark_Segment:STRUCTx1,Transformer_zObj:STRUCTx1,matrixtdef:STRUCTx2,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,DRender_tCalcView:STRUCTx1,DRender_tView:STRUCTx2; retail_duplicate_typedefs=90; source_duplicate_typedefs=52
recon/game/psx/flare.cpp	flare.obj	DIFF	93	93	0	0	2	2	224	193	453	2	10	525	82	491	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarModels,tCarNameLength,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuCommandType; retail_duplicate_named=TCBx1,BO_tNewtonObjx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=Transformer_zUV:STRUCTx1,CNightSpec:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,CDepthCueSpec:STRUCTx1,CWeatherSpec:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,CFogSpec:STRUCTx1,CWorldColor:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,FLARE_PIECE_DEF:STRUCTx2,Flare_tInfo:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_FlareCache:STRUCTx1,Draw_tCacheHeader:STRUCTx1,Sched_tSchedule:STRUCTx1,Transformer_zObj:STRUCTx1,CHorizonSpec:STRUCTx1,GameSetup_tPerpData:STRUCTx1,GameSetup_tControllerData:STRUCTx1,FLARE_DEF:STRUCTx1,DRender_tCalcView:STRUCTx1,DRender_tView:STRUCTx1,CSkySpec:STRUCTx1,GameSetup_tUserSetting:STRUCTx1; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tItemList:ARY PTR STRUCT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM; retail_duplicate_typedefs=82; source_duplicate_typedefs=491
recon/game/psx/font.cpp	font.obj	OK	36	36	0	0	2	2	103	103	0	0	0	0	20	49	retail_duplicate_typedefs=20; source_duplicate_typedefs=49
recon/game/psx/force.cpp	force.obj	OK	76	76	0	0	2	2	198	164	0	2	0	0	72	41	retail_duplicate_named=BO_tNewtonObjx1,TCBx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Sched_tSchedule:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,DRender_tCalcView:STRUCTx1,Cars_tRenderInfo:STRUCTx1,Car_tStats:STRUCTx1,GameSetup_tCarData:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,Car_tSpecs:STRUCTx1; retail_duplicate_typedefs=72; source_duplicate_typedefs=41
