source	owner	status	retail_named	named_exact	named_missing	named_mismatch	retail_anonymous	anonymous_covered	retail_typedefs	typedefs_covered	source_extra_named	retail_duplicate_named	source_extra_anonymous	source_extra_typedefs	retail_duplicate_typedefs	source_duplicate_typedefs	detail
recon/syslib/psx/2mbyte/2mbyte.c	..\syslib\psx\lib\2mbyte.obj	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A07.c	..\syslib\psx\lib\libapi.lib(A07.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A08.c	..\syslib\psx\lib\libapi.lib(A08.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A09.c	..\syslib\psx\lib\libapi.lib(A09.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A11.c	..\syslib\psx\lib\libapi.lib(A11.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A12.c	..\syslib\psx\lib\libapi.lib(A12.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A13.c	..\syslib\psx\lib\libapi.lib(A13.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A23.c	..\syslib\psx\lib\libapi.lib(A23.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A24.c	..\syslib\psx\lib\libapi.lib(A24.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A25.c	..\syslib\psx\lib\libapi.lib(A25.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
recon/syslib/psx/libapi/A36.c	..\syslib\psx\lib\libapi.lib(A36.obj)	SYM_UNTYPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	retail owner has a FILE boundary but zero canonical type records; source type graph is not provable from SYM
