source	owner	status	retail_named	named_exact	named_missing	named_mismatch	retail_anonymous	anonymous_covered	retail_typedefs	typedefs_covered	source_extra_named	retail_duplicate_named	source_extra_anonymous	source_extra_typedefs	retail_duplicate_typedefs	source_duplicate_typedefs	detail
recon/game/psx/audio.cpp	audio.obj	OK	80	80	0	0	2	2	172	138	0	1	0	0	40	13	retail_duplicate_named=BO_tNewtonObjx1; retail_duplicate_typedefs=40; source_duplicate_typedefs=13
recon/game/psx/cario.cpp	CarIO.obj	OK	72	72	0	0	2	2	197	162	0	1	0	0	76	54	retail_duplicate_named=BO_tNewtonObjx1; retail_duplicate_typedefs=76; source_duplicate_typedefs=54
recon/game/psx/device.cpp	device.obj	DIFF	88	88	0	0	2	2	226	182	458	2	9	519	81	325	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,forceFocus_t,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuTextState,tMenuTextType; retail_duplicate_named=BO_tNewtonObjx1,tMenux1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedefs=tPA32:PTR ARY SHORT; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPA32:ARY PTR SHORT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM; retail_duplicate_typedefs=81; source_duplicate_typedefs=325
recon/game/psx/draw.cpp	Draw.obj	OK	42	42	0	0	2	2	117	99	0	1	0	0	35	28	retail_duplicate_named=TCBx1; retail_duplicate_typedefs=35; source_duplicate_typedefs=28
recon/game/psx/drawc.cpp	DrawC.obj	DIFF	105	105	0	0	2	2	389	322	441	3	10	500	224	463	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuTextState,tMenuTextType,tPMenuCommandType; retail_duplicate_named=TCBx1,BO_tNewtonObjx1,tMenux1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedefs=tPA32:PTR ARY SHORT; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,FEMATRIX:ARY ARY INT,FEVECTOR:ARY INT,tPA32:ARY PTR SHORT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,s_type:ENUM,stateType_t:ENUM,tAppCommand:ENUM; retail_duplicate_typedefs=224; source_duplicate_typedefs=463
recon/game/psx/draww.cpp	DrawW.obj	DIFF	120	120	0	0	2	2	424	368	427	4	10	487	245	557	named_extra=AICop_RoadBlockState,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarModels,tCarNameLength,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuCommandType,tMenuTextState; retail_duplicate_named=TCBx1,BO_tNewtonObjx1,AIDataRecord_AccTable_tx1,AIDataRecord_CurveSpeedTable_tx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedefs=tPA32:PTR ARY SHORT; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,FEVECTOR:ARY INT,tPA32:ARY PTR SHORT,tItemList:ARY PTR STRUCT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,s_type:ENUM,stateType_t:ENUM; retail_duplicate_typedefs=245; source_duplicate_typedefs=557
recon/game/psx/fe3dmenu.cpp	fe3dmenu.obj	DIFF	84	84	0	0	2	2	223	181	462	2	9	531	90	350	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarModels,tCarNameLength,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuCommandType; retail_duplicate_named=TCBx1,BO_tNewtonObjx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedefs=tPA32:PTR ARY SHORT; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPA32:ARY PTR SHORT,tItemList:ARY PTR STRUCT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM; retail_duplicate_typedefs=90; source_duplicate_typedefs=350
recon/game/psx/flare.cpp	flare.obj	DIFF	93	93	0	0	2	2	224	193	453	2	10	526	82	458	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,s_type,stateType_t,tAppCommand,tCarClassType,tCarListType,tCarModels,tCarNameLength,tCarStatType,tCheatCode,tFront_ProcessingType,tInputKeyType,tMenuCommandType; retail_duplicate_named=TCBx1,BO_tNewtonObjx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedefs=tPA32:PTR ARY SHORT; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPA32:ARY PTR SHORT,tItemList:ARY PTR STRUCT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,tSaveRecords:ARY STRUCT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM; retail_duplicate_typedefs=82; source_duplicate_typedefs=458
recon/game/psx/font.cpp	font.obj|..\syslib\psx\lib\libgpu.lib(FONT.obj)	OWNER_MAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2 owner candidates
recon/game/psx/force.cpp	force.obj	OK	76	76	0	0	2	2	198	164	0	2	0	0	72	41	retail_duplicate_named=BO_tNewtonObjx1,TCBx1; retail_duplicate_typedefs=72; source_duplicate_typedefs=41
