TIER INV  A  B  C   OBJECT
2    38   0  0  42  build/recon/game/common/aiphysic.cpp.o
2    37   0  0  56  build/recon/syslib/psx/libgpu/SYS.c.o
2    25   0  0  47  build/recon/eaclib/psx/eacpsxz/nfile.c.o
2    19   0  0  4   build/recon/frontend/common/screencongrats.cpp.o
2    12   0  0  1   build/recon/syslib/psx/libetc/INTR.c.o
2    12   0  0  21  build/recon/syslib/psx/libpad/PADCMD.c.o
2    11   0  0  18  build/recon/game/common/aidatarecord.cpp.o
2    11   0  0  18  build/recon/syslib/psx/libcd/drv.c.o
2    10   0  0  28  build/recon/eaclib/psx/eacpsxz/cdfs.c.o
2    7    0  0  74  build/recon/game/common/audiocmn.cpp.o
2    5    0  0  7   build/recon/syslib/psx/libcd/iso9660.c.o
2    4    0  0  7   build/recon/eaclib/psx/eacpsxz/locatbig.c.o
2    4    0  0  26  build/recon/game/common/aistate.cpp.o
2    3    0  0  18  build/recon/frontend/common/femenu.cpp.o
2    3    0  0  148 build/recon/frontend/common/femenudefs.cpp.o
2    3    0  0  22  build/recon/game/common/aih_btcperp.cpp.o
2    3    0  0  5   build/recon/syslib/psx/libetc/INTR_VB.c.o
2    3    0  0  7   build/recon/syslib/psx/libpad/PADSEQD.c.o
2    2    0  0  7   build/recon/eaclib/psx/sndpsxz/stagpat.c.o
2    2    0  0  29  build/recon/frontend/common/fedialog.cpp.o
2    2    0  0  18  build/recon/frontend/common/femenuoptions.cpp.o
2    2    0  0  43  build/recon/frontend/common/screencontroller.cpp.o
2    2    0  0  23  build/recon/game/common/object.cpp.o
2    2    0  0  10  build/recon/syslib/psx/libcard/PATCH.c.o
2    2    0  0  7   build/recon/syslib/psx/libcd/event.c.o
2    2    0  0  17  build/recon/syslib/psx/libmcrd/BIOS.c.o
2    1    0  0  2   build/recon/eaclib/psx/sndpsxz/sbremove.c.o
2    1    0  0  8   build/recon/eaclib/psx/spchpsxz/spchevnt.c.o
2    1    0  0  4   build/recon/eaclib/psx/spchpsxz/spchrule.c.o
2    1    0  0  21  build/recon/frontend/common/feapp.cpp.o
2    1    0  0  30  build/recon/frontend/common/fememcard.cpp.o
2    1    0  0  15  build/recon/frontend/common/femenuextended.cpp.o
2    1    0  0  45  build/recon/frontend/common/screencarselect.cpp.o
2    1    0  0  48  build/recon/game/common/aih_btccop.cpp.o
2    1    0  0  8   build/recon/game/common/aihigh.cpp.o
2    1    0  0  24  build/recon/game/common/aispeeds.cpp.o
2    1    0  0  46  build/recon/game/common/cars.cpp.o
2    1    0  0  119 build/recon/game/common/speech.cpp.o
2    1    0  0  2   build/recon/syslib/psx/libapi/FIRST.c.o
2    1    0  0  4   build/recon/syslib/psx/libc/QSORT.c.o
2    1    0  0  2   build/recon/syslib/psx/libcd/cdread2.c.o
2    1    0  0  6   build/recon/syslib/psx/libcd/stcdint.c.o
2    1    0  0  1   build/recon/syslib/psx/libcd/stream.c.o
2    1    0  0  1   build/recon/syslib/psx/libcd/toc.c.o
2    1    0  0  2   build/recon/syslib/psx/libmath/DIVDF3.c.o
2    1    0  0  3   build/recon/syslib/psx/libmath/MULDF3.c.o
3    2    0  0  0   build/recon/eaclib/psx/spchpsxz/spchdata.c.o
3    1    0  0  0   build/recon/syslib/psx/libcd/streamhelp.c.o
3    1    0  0  0   build/recon/syslib/psx/libetc/VSYNC.c.o

objects with inversions: 49  total inversions: 250
tier1(byte-visible)=0  tier2(intra-TU reloc)=46  tier3(external-only)=3
