placed=438 dropped=22 bytes=893028 identical=726717 (81.38%) exact_objs=201
  18446/  27016 differing  build/recon/game/psx/drawc.cpp.o
  18257/  32512 differing  build/recon/game/psx/hud.cpp.o
  12765/  24796 differing  build/recon/frontend/common/femenudefs.cpp.o
   9992/  20716 differing  build/recon/game/common/speech.cpp.o
   8736/  21628 differing  build/recon/game/common/r3dcar.cpp.o
   7620/  25672 differing  build/recon/game/common/collide.cpp.o
   6444/  21128 differing  build/recon/frontend/common/front.cpp.o
   5891/  15344 differing  build/recon/game/common/aiphysic.cpp.o
   4550/  22392 differing  build/recon/game/common/camera.cpp.o
   3969/   8312 differing  build/recon/game/common/aih_cop.cpp.o
   3959/  20004 differing  build/recon/game/common/newton.cpp.o
   3472/   7240 differing  build/recon/frontend/common/screenmain.cpp.o
   2963/   7432 differing  build/recon/frontend/common/femenu.cpp.o
   2918/  10172 differing  build/recon/frontend/common/feapp.cpp.o
   2730/   4340 differing  build/recon/frontend/common/screenpost.cpp.o
   2561/   6536 differing  build/recon/frontend/psx/psxfront.cpp.o
   2537/   6252 differing  build/recon/game/common/pausemenu.cpp.o
   2494/   5300 differing  build/recon/game/psx/cario.cpp.o
   2080/   9476 differing  build/recon/game/psx/hrzsku.cpp.o
   2070/   6072 differing  build/recon/syslib/psx/libmcrd/LIBMCRD.c.o
   1966/  19852 differing  build/recon/frontend/common/femenuoptions.cpp.o
   1928/  10212 differing  build/recon/syslib/psx/libgpu/SYS.c.o
   1521/   7412 differing  build/recon/game/common/audioclc.cpp.o
   1519/   5272 differing  build/recon/frontend/psx/memcard.c.o
   1354/   3020 differing  build/recon/syslib/psx/libpad/PADMAIN.c.o
   1349/   2776 differing  build/recon/syslib/psx/libcd/stcdint.c.o
   1341/   4136 differing  build/recon/frontend/common/statchk.cpp.o
   1211/   2144 differing  build/recon/frontend/common/screenusername.cpp.o
   1153/   2060 differing  build/recon/syslib/psx/libcd/cdread.c.o
   1051/   2364 differing  build/recon/syslib/psx/libpad/PADCMD.c.o
   1049/   1788 differing  build/recon/syslib/psx/libcd/cdcont.c.o
   1032/   2596 differing  build/recon/game/psx/psxcontroller.cpp.o
   1013/  20104 differing  build/recon/frontend/common/screencarselect.cpp.o
    951/   1608 differing  build/recon/syslib/psx/libpad/PADPORTD.c.o
    732/   5848 differing  build/recon/syslib/psx/libcd/drv.c.o
    662/  22136 differing  build/recon/game/common/cars.cpp.o
    620/   1612 differing  build/recon/syslib/psx/libetc/INTR.c.o
    587/   4004 differing  build/recon/game/psx/night.cpp.o
    582/   3284 differing  build/recon/game/common/sim.cpp.o
    564/   9008 differing  build/recon/game/common/replay.cpp.o
    543/   8140 differing  build/recon/game/psx/weather.cpp.o
    535/    700 differing  build/recon/syslib/psx/libcd/streamhelp.c.o
    532/   6880 differing  build/recon/game/common/copspeak.cpp.o
    527/  11080 differing  build/recon/game/common/aih_btccop.cpp.o
    526/   6212 differing  build/recon/frontend/common/fememcard.cpp.o
    523/   2612 differing  build/recon/frontend/common/feaudio.cpp.o
    502/  12460 differing  build/recon/game/common/ai.cpp.o
    487/   2800 differing  build/recon/game/common/hudpmx.cpp.o
    467/   4940 differing  build/recon/game/common/bworld.cpp.o
    460/   2288 differing  build/recon/game/common/aih_opp.cpp.o
    432/   4184 differing  build/recon/game/common/mpause.cpp.o
    424/   3164 differing  build/recon/game/common/aih_basicperp.cpp.o
    418/   4300 differing  build/recon/frontend/psx/movie.cpp.o
    413/   8516 differing  build/recon/game/common/aispeeds.cpp.o
    408/   6972 differing  build/recon/frontend/common/screenmemcard.cpp.o
    375/   4608 differing  build/recon/game/common/stats.cpp.o
    362/  14532 differing  build/recon/game/psx/flare.cpp.o
    351/   7536 differing  build/recon/game/common/track.cpp.o
    336/   7792 differing  build/recon/game/common/aih_play.cpp.o
    323/   9008 differing  build/recon/game/common/object.cpp.o
    319/  10296 differing  build/recon/frontend/common/screencontroller.cpp.o
    318/   7500 differing  build/recon/game/common/aih_btcperp.cpp.o
    283/   6624 differing  build/recon/frontend/common/screencongrats.cpp.o
    276/   1712 differing  build/recon/syslib/psx/libmcrd/BIOS.c.o
    264/   3320 differing  build/recon/game/common/nfs3.cpp.o
    256/    808 differing  build/recon/syslib/psx/libmath/DIVDF3.c.o
    253/    592 differing  build/recon/syslib/psx/libcd/toc.c.o
    241/   5016 differing  build/recon/game/common/ailife.cpp.o
    237/   5688 differing  build/recon/game/common/audiomus.cpp.o
    223/   3088 differing  build/recon/game/psx/draw.cpp.o
    215/   4816 differing  build/recon/game/psx/texture.cpp.o
    205/   6460 differing  build/recon/frontend/common/fedialog.cpp.o
    201/   2292 differing  build/recon/frontend/common/screenaudio.cpp.o
    201/   4256 differing  build/recon/game/common/input.cpp.o
    200/   5796 differing  build/recon/game/psx/sfx.cpp.o
    197/   2372 differing  build/recon/game/common/genericpmx.cpp.o
    188/   3756 differing  build/recon/eaclib/psx/eacpsxz/cdfs.c.o
    181/   2128 differing  build/recon/game/common/aiperson.cpp.o
    179/   2464 differing  build/recon/game/common/trgsfx.cpp.o
    177/   3204 differing  build/recon/frontend/common/screenpinkslips.cpp.o
    174/   3060 differing  build/recon/frontend/common/screentracks.cpp.o
    162/   1512 differing  build/recon/syslib/psx/libpad/MCXMAIN.c.o
    160/   2720 differing  build/recon/game/common/aiinit.cpp.o
    159/   8032 differing  build/recon/frontend/common/femenuextended.cpp.o
    156/   7732 differing  build/recon/frontend/common/fetourn.cpp.o
    154/   3360 differing  build/recon/game/common/aih_traf.cpp.o
    147/   2976 differing  build/recon/game/common/render.cpp.o
    142/   3264 differing  build/recon/game/psx/textureprocess.cpp.o
    140/   3576 differing  build/recon/frontend/common/screentournselect.cpp.o
    140/   5956 differing  build/recon/eaclib/psx/eacpsxz/nfile.c.o
    127/   1292 differing  build/recon/game/common/dashhud.cpp.o
    123/   2724 differing  build/recon/game/psx/font.cpp.o
    122/   4016 differing  build/recon/game/common/audiotrk.cpp.o
    110/   2708 differing  build/recon/frontend/common/screentrophyroom.cpp.o
    109/   7420 differing  build/recon/game/common/bworldSm.cpp.o
    105/   1272 differing  build/recon/syslib/psx/libpress/LIBPRESS.c.o
     97/   3156 differing  build/recon/eaclib/psx/eacpsxz/nasync.c.o
     83/    864 differing  build/recon/game/common/simqueue.cpp.o
     81/   2316 differing  build/recon/game/common/souffle.cpp.o
     81/   1172 differing  build/recon/syslib/psx/libpad/PADSEQD.c.o
     78/   3240 differing  build/recon/frontend/common/fecredits.cpp.o
     77/   3228 differing  build/recon/game/common/anim.cpp.o
     76/   1624 differing  build/recon/frontend/common/fecheats.cpp.o
     74/   1860 differing  build/recon/eaclib/psx/eacpsxz/fileroot.c.o
     73/   1640 differing  build/recon/game/psx/fe3dmenu.cpp.o
     73/   2568 differing  build/recon/game/common/aih_basiccop.cpp.o
     73/   3776 differing  build/recon/game/psx/skidmark.cpp.o
     72/   2820 differing  build/recon/game/common/AIWORLD.cpp.o
     71/   4204 differing  build/recon/game/common/audioeng.cpp.o
     70/   1024 differing  build/recon/syslib/psx/libmath/MULDF3.c.o
     69/    884 differing  build/recon/syslib/psx/libmath/ADDDF3.c.o
     68/    908 differing  build/recon/game/common/gmesetup.cpp.o
     67/    528 differing  build/recon/syslib/psx/libetc/VSYNC.c.o
     66/    528 differing  build/recon/eaclib/psx/eacpsxz/unbtree.c.o
     65/   1104 differing  build/recon/frontend/common/screentrackinfo.cpp.o
     64/   2164 differing  build/recon/game/psx/force.cpp.o
     63/    964 differing  build/recon/eaclib/psx/spchpsxz/spchbank.c.o
     62/   3380 differing  build/recon/frontend/common/fetextrender.cpp.o
     62/    516 differing  build/recon/game/common/aicop.cpp.o
     62/   2180 differing  build/recon/syslib/psx/libc/SPRINTF.c.o
     62/    576 differing  build/recon/eaclib/psx/spchpsxz/spchinit.c.o
     56/   2768 differing  build/recon/frontend/common/screentrackrecords.cpp.o
     54/   1028 differing  build/recon/frontend/psx/mdec.cpp.o
     54/    324 differing  build/recon/eaclib/psx/eacpsxz/primate.c.o
     52/    508 differing  build/recon/eaclib/psx/eacpsxz/systask.c.o
     52/   4484 differing  build/recon/eaclib/psx/spchpsxz/spchpick.c.o
     52/    668 differing  build/recon/syslib/psx/libapi/FIRST.c.o
     51/    596 differing  build/recon/eaclib/psx/eacpsxz/inittmr.c.o
     50/   1428 differing  build/recon/frontend/psx/video.cpp.o
     50/    908 differing  build/recon/game/psx/audio.cpp.o
     49/   1528 differing  build/recon/frontend/common/screentrophyinfo.cpp.o
     49/   1824 differing  build/recon/frontend/common/stattool.cpp.o
     46/   1756 differing  build/recon/syslib/psx/libgpu/FONT.c.o
     45/   1160 differing  build/recon/game/common/control.cpp.o
     44/   1336 differing  build/recon/frontend/common/feinput.cpp.o
     42/   1380 differing  build/recon/frontend/common/fetools.cpp.o
     41/    248 differing  build/recon/syslib/psx/libmath/FIXDFSI.c.o
     40/   2336 differing  build/recon/eaclib/psx/spchpsxz/spchevnt.c.o
     37/   1932 differing  build/recon/frontend/common/fevideowall.cpp.o
     36/    312 differing  build/recon/game/common/clock.cpp.o
     36/    952 differing  build/recon/game/common/schedule.cpp.o
     36/    608 differing  build/recon/game/psx/loading.cpp.o
     36/   1000 differing  build/recon/game/psx/trackspec.cpp.o
     36/    264 differing  build/recon/syslib/psx/libmcrd/USERFUNC.c.o
     35/    416 differing  build/recon/game/common/textsys.cpp.o
     30/   2052 differing  build/recon/frontend/psx/drawshp.cpp.o
     29/    576 differing  build/recon/game/common/scene.cpp.o
     28/   2236 differing  build/recon/eaclib/psx/eacpsxz/memstd.c.o
     28/    916 differing  build/recon/syslib/psx/libpad/PADENTRY.c.o
     28/    884 differing  build/recon/eaclib/psx/eacpsxz/movf.c.o
     27/    296 differing  build/recon/game/common/aitune.cpp.o
     27/    816 differing  build/recon/eaclib/psx/sndpsxz/sdmemman.c.o
     26/    896 differing  build/recon/syslib/psx/libpress/VLC.c.o
     25/    276 differing  build/recon/syslib/psx/libetc/INTR_VB.c.o
     24/    576 differing  build/recon/frontend/common/femission.cpp.o
     24/    652 differing  build/recon/syslib/psx/libgte/FGO_01.c.o
     23/   1512 differing  build/recon/frontend/common/fetracks.cpp.o
     22/    528 differing  build/recon/eaclib/psx/spchpsxz/spchrand.c.o
     22/    324 differing  build/recon/syslib/psx/libcd/event.c.o
     21/    828 differing  build/recon/frontend/common/fefades.cpp.o
     21/   2992 differing  build/recon/eaclib/psx/sndpsxz/stagpat.c.o
     20/    196 differing  build/recon/syslib/psx/2mbyte/2mbyte.c.o
     20/   1212 differing  build/recon/eaclib/psx/eacpsxz/nsync.c.o
     20/    176 differing  build/recon/eaclib/psx/eacpsxz/timer.c.o
     20/    260 differing  build/recon/syslib/psx/libapi/COUNTER.c.o
     20/    292 differing  build/recon/eaclib/psx/eacpsxz/fastmovf.c.o
     19/    452 differing  build/recon/eaclib/psx/eacpsxz/isqrt.c.o
     18/   1804 differing  build/recon/eaclib/psx/sndpsxz/salloc.c.o
     16/    284 differing  build/recon/eaclib/psx/eacpsxz/isincos.c.o
     16/    256 differing  build/recon/eaclib/psx/sndpsxz/srandom.c.o
     16/    148 differing  build/recon/eaclib/psx/sndpsxz/ssine.c.o
     15/    560 differing  build/recon/eaclib/psx/pad.c.o
     15/    792 differing  build/recon/eaclib/psx/eacpsxz/matrix.c.o
     14/    152 differing  build/recon/game/common/aih_hum.cpp.o
     14/     76 differing  build/recon/game/common/paths.cpp.o
     13/   1196 differing  build/recon/eaclib/psx/spchpsxz/spchrule.c.o
     12/   1532 differing  build/recon/game/common/aitriger.cpp.o
     12/    644 differing  build/recon/syslib/psx/libcd/TYPE.c.o
     12/     36 differing  build/recon/syslib/psx/libetc/VMODE.c.o
     10/    144 differing  build/recon/game/common/fastrand.cpp.o
     10/   1172 differing  build/recon/game/psx/trsproj.cpp.o
     10/    208 differing  build/recon/eaclib/psx/sndpsxz/slimits.c.o
     10/    228 differing  build/recon/eaclib/psx/eacpsxz/asinfunc.c.o
     10/    764 differing  build/recon/eaclib/psx/eacpsxz/unref.c.o
      9/    212 differing  build/recon/frontend/common/screendisplay.cpp.o
      9/    124 differing  build/recon/game/common/audedit.cpp.o
      9/    724 differing  build/recon/eaclib/psx/eacpsxz/wildcard.c.o
      9/    152 differing  build/recon/eaclib/psx/eacpsxz/addtimer.c.o
      9/   6688 differing  build/recon/eaclib/psx/eacpsxz/stream.c.o
      9/   4120 differing  build/recon/eaclib/psx/sndpsxz/sdpacket.c.o
      8/     40 differing  build/recon/game/psx/textpsx.c.o
      8/    292 differing  build/recon/eaclib/psx/sndpsxz/svol.c.o
      8/    320 differing  build/recon/eaclib/psx/eacpsxz/random.c.o
      8/    408 differing  build/recon/syslib/psx/libgte/FGO_06.c.o
      8/     60 differing  build/recon/eaclib/psx/eacpsxz/joystkn.c.o
      8/    776 differing  build/recon/eaclib/psx/eacpsxz/vramfxya.c.o
      6/    708 differing  build/recon/frontend/common/felines.cpp.o
      6/    732 differing  build/recon/frontend/psx/fetexture.cpp.o
      6/    876 differing  build/recon/game/common/aidelaycar.cpp.o
      6/   1428 differing  build/recon/eaclib/psx/sndpsxz/sserver.c.o
      6/     96 differing  build/recon/eaclib/psx/eacpsxz/exit.c.o
      6/    984 differing  build/recon/eaclib/psx/sndpsxz/ssysinit.c.o
      6/    108 differing  build/recon/eaclib/psx/sndpsxz/ssysreal.c.o
      6/    128 differing  build/recon/syslib/psx/libgte/MSC00.c.o
      6/    104 differing  build/recon/eaclib/psx/sndpsxz/scdvol.c.o
      5/    328 differing  build/recon/eaclib/psx/eacpsxz/fixdatan.c.o
      5/    444 differing  build/recon/eaclib/psx/sndpsxz/sclcptch.c.o
      4/    180 differing  build/recon/game/psx/textpix.c.o
      4/    332 differing  build/recon/eaclib/psx/sndpsxz/span.c.o
      4/    104 differing  build/recon/eaclib/psx/sndpsxz/sstsetpr.c.o
