class,REAL,RELOP,reloc,words,G,extra_flags,shim,unit,tu,fn,oracle_dir,symsrc,tail_pad,note
REAL0_RELOC_ONLY,0,0,4,24,4,,,eaclib/psx/eacpsxz/addtimer,recon/eaclib/psx/eacpsxz/addtimer.c,addtimer,main,xdef,0,
REAL0_RELOC_ONLY,0,0,2,14,4,,,eaclib/psx/eacpsxz/addtimer,recon/eaclib/psx/eacpsxz/addtimer.c,deltimer,main,xdef,0,
REAL0_RELOC_ONLY,0,0,1,9,4,,,eaclib/psx/eacpsxz/asinfunc,recon/eaclib/psx/eacpsxz/asinfunc.c,intarccos,main,xdef,0,
REAL0_RELOC_ONLY,0,0,8,75,4,,,eaclib/psx/eacpsxz/atanfunc,recon/eaclib/psx/eacpsxz/atanfunc.c,intatan,main,xdef,0,
REAL0_CLEAN,0,0,0,1,4,,,eaclib/psx/eacpsxz/blkfill,recon/eaclib/psx/eacpsxz/blkfill.c,blockclear,main,xdef,0,
REAL0_CLEAN,0,0,0,80,4,,,eaclib/psx/eacpsxz/blkfill,recon/eaclib/psx/eacpsxz/blkfill.c,blockfill,main,xdef,0,
REAL0_RELOC_ONLY,0,0,1,199,4,,,eaclib/psx/eacpsxz/blkmov,recon/eaclib/psx/eacpsxz/blkmov.c,blockmove,main,xdef,0,
REAL0_RELOC_ONLY,0,0,5,23,4,,,eaclib/psx/eacpsxz/callback,recon/eaclib/psx/eacpsxz/callback.c,allocmutex,main,xdef,0,
REAL0_CLEAN,0,0,0,2,4,,,eaclib/psx/eacpsxz/callback,recon/eaclib/psx/eacpsxz/callback.c,freemutex,main,xdef,0,
REAL0_RELOC_ONLY,0,0,2,7,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Close,main,xdef,0,
REAL0_RELOC_ONLY,0,0,3,29,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Getinfo,main,xdef,0,
REAL0_RELOC_ONLY,0,0,16,69,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Init,main,xdef,0,
REAL0_RELOC_ONLY,0,0,9,66,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Open,main,xdef,0,
REAL0_RELOC_ONLY,0,0,32,163,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Read,main,xdef,0,
REAL0_RELOC_ONLY,0,0,13,43,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Restart,main,xdef,0,
REAL0_RELOC_ONLY,0,0,4,12,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Restore,main,xdef,0,
REAL0_RELOC_ONLY,0,0,3,7,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_Stopread,main,xdef,0,
REAL0_RELOC_ONLY,0,0,28,87,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_systaskfunc,main,xdef,0,
REAL0_RELOC_ONLY,0,0,8,24,4,,,eaclib/psx/eacpsxz/cdfs,recon/eaclib/psx/eacpsxz/cdfs.c,CD_timerfunc,main,xdef,0,
