placed=443 dropped=17 bytes=922020 identical=777622 (84.34%) exact_objs=226 data_placed=238 data_bytes=56502 data_identical=53010
  22751/  32504 differing  build/recon/game/psx/hud.cpp.o
  18597/  27032 differing  build/recon/game/psx/drawc.cpp.o
  14251/  24804 differing  build/recon/frontend/common/femenudefs.cpp.o
   9919/  20716 differing  build/recon/game/common/speech.cpp.o
   8077/  22380 differing  build/recon/game/common/camera.cpp.o
   7608/  25672 differing  build/recon/game/common/collide.cpp.o
   5776/  15344 differing  build/recon/game/common/aiphysic.cpp.o
   3817/   8320 differing  build/recon/game/common/aih_cop.cpp.o
   3807/  20004 differing  build/recon/game/common/newton.cpp.o
   3698/   9460 differing  build/recon/game/psx/hrzsku.cpp.o
   2950/   7432 differing  build/recon/frontend/common/femenu.cpp.o
   2717/   4340 differing  build/recon/frontend/common/screenpost.cpp.o
   2488/   6536 differing  build/recon/frontend/psx/psxfront.cpp.o
   2458/   6256 differing  build/recon/game/common/pausemenu.cpp.o
   2448/   5300 differing  build/recon/game/psx/cario.cpp.o
   1974/   6040 differing  build/recon/syslib/psx/libmcrd/LIBMCRD.c.o
   1910/   4936 differing  build/recon/game/common/bworld.cpp.o
   1746/   3036 differing  build/recon/syslib/psx/libpad/PADMAIN.c.o
   1561/   2776 differing  build/recon/syslib/psx/libcd/stcdint.c.o
   1509/   5272 differing  build/recon/frontend/psx/memcard.c.o
   1306/   4136 differing  build/recon/frontend/common/statchk.cpp.o
   1205/   2144 differing  build/recon/frontend/common/screenusername.cpp.o
   1041/   2364 differing  build/recon/syslib/psx/libpad/PADCMD.c.o
   1003/   2592 differing  build/recon/game/psx/psxcontroller.cpp.o
    941/   1612 differing  build/recon/syslib/psx/libpad/PADPORTD.c.o
    927/  10216 differing  build/recon/syslib/psx/libgpu/SYS.c.o
    651/   2052 differing  build/recon/syslib/psx/libcd/cdread.c.o
    645/  20104 differing  build/recon/frontend/common/screencarselect.cpp.o
    635/   5848 differing  build/recon/syslib/psx/libcd/drv.c.o
    561/   1616 differing  build/recon/syslib/psx/libetc/INTR.c.o
    542/    672 differing  build/recon/syslib/psx/libapi/FIRST.c.o
    504/   4004 differing  build/recon/game/psx/night.cpp.o
    503/    700 differing  build/recon/syslib/psx/libcd/streamhelp.c.o
    483/   8140 differing  build/recon/game/psx/weather.cpp.o
    456/   2612 differing  build/recon/frontend/common/feaudio.cpp.o
    439/   2800 differing  build/recon/game/common/hudpmx.cpp.o
    418/   9008 differing  build/recon/game/common/replay.cpp.o
    397/  15060 differing  build/recon/game/common/audiocmn.cpp.o
    389/   4300 differing  build/recon/frontend/psx/movie.cpp.o
    369/  21124 differing  build/recon/frontend/common/front.cpp.o
    360/   6880 differing  build/recon/game/common/copspeak.cpp.o
    360/  21632 differing  build/recon/game/common/r3dcar.cpp.o
    339/   6972 differing  build/recon/frontend/common/screenmemcard.cpp.o
    337/   3164 differing  build/recon/game/common/aih_basicperp.cpp.o
    313/   2288 differing  build/recon/game/common/aih_opp.cpp.o
    310/   7536 differing  build/recon/game/common/track.cpp.o
    287/   4184 differing  build/recon/game/common/mpause.cpp.o
    276/   1712 differing  build/recon/syslib/psx/libmcrd/BIOS.c.o
    250/    808 differing  build/recon/syslib/psx/libmath/DIVDF3.c.o
    240/  10176 differing  build/recon/frontend/common/feapp.cpp.o
    238/  19856 differing  build/recon/frontend/common/femenuoptions.cpp.o
    221/   4608 differing  build/recon/game/common/stats.cpp.o
    218/  22136 differing  build/recon/game/common/cars.cpp.o
    207/   5688 differing  build/recon/game/common/audiomus.cpp.o
    190/   4816 differing  build/recon/game/psx/texture.cpp.o
    183/   3088 differing  build/recon/game/psx/draw.cpp.o
    176/   2464 differing  build/recon/game/common/trgsfx.cpp.o
    175/   9008 differing  build/recon/game/common/object.cpp.o
    173/   3756 differing  build/recon/eaclib/psx/eacpsxz/cdfs.c.o
    153/   6460 differing  build/recon/frontend/common/fedialog.cpp.o
    151/  10296 differing  build/recon/frontend/common/screencontroller.cpp.o
    149/   3292 differing  build/recon/game/common/sim.cpp.o
    148/   7236 differing  build/recon/frontend/common/screenmain.cpp.o
    144/  11976 differing  build/recon/game/common/aistate.cpp.o
