A=0   G=0   S=50  000000066 skelnr=41   insns=3196 frame=632 delta=9
A=0   G=5   S=43  000001136 skelnr=38   insns=3197 frame=632 delta=9
A=0   G=9   S=39  000002126 skelnr=38   insns=3197 frame=632 delta=9
A=0   G=13  S=35  000003116 skelnr=38   insns=3197 frame=632 delta=9
A=0   G=17  S=31  000004115 skelnr=35   insns=3196 frame=632 delta=1
A=5   G=0   S=43  000010136 skelnr=38   insns=3197 frame=632 delta=9
A=5   G=5   S=38  000011036 skelnr=38   insns=3197 frame=632 delta=9
A=5   G=9   S=34  000012026 skelnr=38   insns=3197 frame=632 delta=9
A=5   G=13  S=30  000013016 skelnr=35   insns=3196 frame=632 delta=1
A=5   G=17  S=26  000014015 skelnr=2    insns=3197 frame=632 delta=9
A=9   G=0   S=39  000020126 skelnr=38   insns=3197 frame=632 delta=9
A=9   G=5   S=34  000021026 skelnr=38   insns=3197 frame=632 delta=9
A=9   G=9   S=30  000022016 skelnr=35   insns=3196 frame=632 delta=1
A=9   G=13  S=26  000023015 skelnr=2    insns=3197 frame=632 delta=9
A=9   G=17  S=22  000024014 skelnr=2    insns=3197 frame=632 delta=9
A=10  G=0   S=38  000110036 skelnr=116  insns=3199 frame=608 delta=9
A=10  G=5   S=34  000111026 skelnr=38   insns=3197 frame=632 delta=9
A=10  G=9   S=30  000112016 skelnr=35   insns=3196 frame=632 delta=1
A=10  G=13  S=25  000113006 skelnr=80   insns=3199 frame=608 delta=9
A=10  G=17  S=21  000114005 skelnr=80   insns=3199 frame=608 delta=9
A=13  G=0   S=35  000030116 skelnr=38   insns=3197 frame=632 delta=9
A=13  G=5   S=30  000031016 skelnr=35   insns=3196 frame=632 delta=1
A=13  G=9   S=26  000032015 skelnr=2    insns=3197 frame=632 delta=9
A=13  G=13  S=22  000033014 skelnr=2    insns=3197 frame=632 delta=9
A=13  G=17  S=18  000034013 skelnr=2    insns=3197 frame=632 delta=9
A=14  G=0   S=34  000120026 skelnr=116  insns=3199 frame=608 delta=9
A=14  G=5   S=30  000121016 skelnr=35   insns=3196 frame=632 delta=1
A=14  G=9   S=25  000122006 skelnr=80   insns=3199 frame=608 delta=9
A=14  G=13  S=21  000123005 skelnr=80   insns=3199 frame=608 delta=9
A=14  G=17  S=17  000124004 skelnr=80   insns=3199 frame=608 delta=9
A=15  G=0   S=34  001110026 skelnr=117  insns=3198 frame=608 delta=9
A=15  G=5   S=30  001111016 skelnr=35   insns=3196 frame=632 delta=1
A=15  G=9   S=25  001112006 skelnr=81   insns=3198 frame=608 delta=9
A=15  G=13  S=21  001113005 skelnr=81   insns=3198 frame=608 delta=9
A=15  G=17  S=17  001114004 skelnr=81   insns=3198 frame=608 delta=9
A=18  G=0   S=30  000130016 skelnr=115  insns=3198 frame=608 delta=9
A=18  G=5   S=25  000131006 skelnr=80   insns=3199 frame=608 delta=9
A=18  G=9   S=21  000132005 skelnr=80   insns=3199 frame=608 delta=9
A=18  G=13  S=17  000133004 skelnr=80   insns=3199 frame=608 delta=9
A=18  G=17  S=13  000134003 skelnr=80   insns=3199 frame=608 delta=9
A=19  G=0   S=30  001120016 skelnr=114  insns=3197 frame=608 delta=1
A=19  G=5   S=25  001121006 skelnr=81   insns=3198 frame=608 delta=9
A=19  G=9   S=21  001122005 skelnr=81   insns=3198 frame=608 delta=9
A=19  G=13  S=17  001123004 skelnr=81   insns=3198 frame=608 delta=9
A=19  G=17  S=13  001124003 skelnr=81   insns=3198 frame=608 delta=9
A=20  G=0   S=30  011110016 skelnr=35   insns=3196 frame=632 delta=1
A=20  G=5   S=23  011111113 skelnr=2    insns=3197 frame=632 delta=9
A=20  G=9   S=19  011112112 skelnr=2    insns=3197 frame=632 delta=9
A=20  G=13  S=15  011113111 skelnr=2    insns=3197 frame=632 delta=9
A=20  G=17  S=13  011114003 skelnr=2    insns=3197 frame=632 delta=9
A=22  G=0   S=26  000230015 skelnr=113  insns=3198 frame=608 delta=1
A=22  G=5   S=21  000231005 skelnr=80   insns=3199 frame=608 delta=9
A=22  G=9   S=17  000232004 skelnr=80   insns=3199 frame=608 delta=9
A=22  G=13  S=13  000233003 skelnr=80   insns=3199 frame=608 delta=9
A=22  G=17  S=9   000234002 skelnr=86   insns=3199 frame=608 delta=9
A=23  G=0   S=25  001130006 skelnr=114  insns=3197 frame=608 delta=1
A=23  G=5   S=21  001131005 skelnr=81   insns=3198 frame=608 delta=9
A=23  G=9   S=17  001132004 skelnr=81   insns=3198 frame=608 delta=9
A=23  G=13  S=13  001133003 skelnr=81   insns=3198 frame=608 delta=9
A=23  G=17  S=9   001134002 skelnr=87   insns=3198 frame=608 delta=9
A=24  G=0   S=25  011120006 skelnr=114  insns=3197 frame=608 delta=1
A=24  G=5   S=19  011121112 skelnr=2    insns=3197 frame=632 delta=9
A=24  G=9   S=15  011122111 skelnr=2    insns=3197 frame=632 delta=9
A=24  G=13  S=13  011123003 skelnr=2    insns=3197 frame=632 delta=9
A=24  G=17  S=9   011124002 skelnr=8    insns=3197 frame=632 delta=9
A=25  G=0   S=23  111110113 skelnr=35   insns=3196 frame=632 delta=1
A=25  G=5   S=18  111111013 skelnr=2    insns=3197 frame=632 delta=9
A=25  G=9   S=14  111112012 skelnr=2    insns=3197 frame=632 delta=9
A=25  G=13  S=10  111113011 skelnr=8    insns=3197 frame=632 delta=9
A=25  G=17  S=9   111114002 skelnr=8    insns=3197 frame=632 delta=9
A=26  G=0   S=22  000330014 skelnr=80   insns=3199 frame=608 delta=9
A=26  G=5   S=17  000331004 skelnr=80   insns=3199 frame=608 delta=9
A=26  G=9   S=13  000332003 skelnr=80   insns=3199 frame=608 delta=9
A=26  G=13  S=9   000333002 skelnr=86   insns=3199 frame=608 delta=9
A=26  G=17  S=5   000334001 skelnr=86   insns=3199 frame=608 delta=9
A=27  G=0   S=21  001230005 skelnr=81   insns=3198 frame=608 delta=9
A=27  G=5   S=17  001231004 skelnr=81   insns=3198 frame=608 delta=9
A=27  G=9   S=13  001232003 skelnr=81   insns=3198 frame=608 delta=9
A=27  G=13  S=9   001233002 skelnr=87   insns=3198 frame=608 delta=9
A=27  G=17  S=5   001234001 skelnr=87   insns=3198 frame=608 delta=9
A=28  G=0   S=21  011130005 skelnr=81   insns=3198 frame=608 delta=9
A=28  G=5   S=15  011131111 skelnr=2    insns=3197 frame=632 delta=9
A=28  G=9   S=13  011132003 skelnr=2    insns=3197 frame=632 delta=9
A=28  G=13  S=9   011133002 skelnr=8    insns=3197 frame=632 delta=9
A=28  G=17  S=5   011134001 skelnr=8    insns=3197 frame=632 delta=9
A=29  G=0   S=19  111120112 skelnr=2    insns=3197 frame=632 delta=9
A=29  G=5   S=14  111121012 skelnr=2    insns=3197 frame=632 delta=9
