instrs,symbol,has_jal,has_lui_or_gp,has_gte
1,__pure_virtual,0,0,0
1,blockclear,0,0,0
1,intcos,0,0,0
2,func_8005B4C4,0,0,0
2,func_8005F678,0,0,0
2,func_800613C4,0,0,0
2,func_8006D50C,0,0,0
2,func_80072830,0,0,0
2,func_800E80C4,0,0,1
2,func_800F219C,0,0,1
2,func_8010694C,0,0,1
2,restoregp,0,0,0
3,AIInit_Reset1__Fv,0,1,0
3,AIPhysic_ResetCar__FP8Car_tObj,0,0,0
3,AISpeeds_GetNextAICar__FP8Car_tObj,0,0,0
3,CD_set_test_parmnum,0,1,0
3,CallSign__Q26Speech13MobileSpeaker,0,1,0
3,CallSign__Q26Speech15DispatchSpeaker,0,1,0
3,CarObj__Q26Speech13MobileSpeaker,0,0,0
3,CdLastPos,0,1,0
3,Draw_InitViews__Fv,0,1,0
3,Draw_SetDrawSyncCallback__FPFv_v,0,1,0
3,Font_SetBlitter__FPFiiPviiP12charactertbli_v,0,1,0
3,Hud_BustedOverlayOff__Fv,0,1,0
3,IsDisabled__10tPMenuItem,0,0,0
3,NextMenu__24tPMenuItemGoToMenuButton,0,0,0
3,Object_GetNumIMassObjects__Fv,0,1,0
3,PCinit,0,0,0
3,Perp__Q26Speech13MobileSpeaker,0,0,0
3,Physics_SetCurrentWallType__Fi,0,1,0
3,SPCH_SetPreLoadTicks,0,1,0
3,SetDQA,0,0,0
3,SetDQB,0,0,0
3,SetIdlePosition__12AIState_Idlei,0,0,0
3,StartUp__17AIState_Purgatory,0,1,0
3,StatusCount__Q26Speech15DispatchSpeaker,0,0,0
3,StatusSub__Q26Speech15DispatchSpeaker,0,0,0
3,TrsProj_SetTransPrecision__Fi,0,1,0
3,Unit__Q26Speech13MobileSpeaker,0,0,0
3,_padSetAct,0,0,0
3,func_800E6E88,0,0,0
3,func_80100724,0,0,0
3,func_80100730,0,0,0
3,func_8010073C,0,0,0
3,func_8010B100,0,0,0
3,getblocksize,0,0,0
3,iSPCH_ClearChosen,0,1,0
3,restoretextdraw,0,1,0
3,shapecount,0,0,0
4,AI_KeepCarsInLane__FP8Car_tObj,0,0,0
4,CdMode,0,1,0
4,CdStatus,0,1,0
4,ChangeClearPAD,0,0,0
4,ChangeClearRCnt,0,0,0
4,CheckCallback,0,1,0
4,CloseEvent,0,0,0
4,DeliverEvent,0,0,0
4,DisableEvent,0,0,0
4,EnableEvent,0,0,0
4,EnterCriticalSection,0,0,0
4,ExitCriticalSection,0,0,0
4,FlushCache,0,0,0
4,GPU_cw,0,0,0
4,HookEntryInt,0,0,0
4,InitHeap,0,0,0
4,OpenEvent,0,0,0
4,PCclose,0,0,0
4,ReadInitPadFlag,0,1,0
4,ResetEntryInt,0,0,0
4,ReturnFromException,0,0,0
4,SetGeomScreen,0,0,0
4,SetSp,0,0,0
4,StartCARD2,0,0,0
4,StopCARD2,0,0,0
4,SysDeqIntRP,0,0,0
4,SysEnqIntRP,0,0,0
4,TestEvent,0,0,0
4,Texture_ResetPaletteSharing__Fv,0,1,0
4,Track_SetTrackNumber__Fi,0,1,0
4,TrsProj_ResetTransPrecision__Fv,0,1,0
4,UserFuncInit,0,1,0
4,_bu_init,0,0,0
4,_card_info,0,0,0
4,_card_load,0,0,0
4,_card_write,0,0,0
4,_new_card,0,0,0
4,atoi,0,0,0
4,bzero,0,0,0
4,close,0,0,0
4,erase,0,0,0
4,firstfile2,0,0,0
4,format,0,0,0
4,func_800FDFE4,0,0,0
4,gettick,0,1,0
4,iSPCH_OneChosen,0,1,0
4,initgp,0,1,0
4,lseek,0,0,0
4,memchr,0,0,0
4,memcpy,0,0,0
4,memset,0,0,0
4,nextfile,0,0,0
4,open,0,0,0
4,printf,0,0,0
4,rand,0,0,0
4,read,0,0,0
4,setjmp,0,0,0
4,strcat,0,0,0
4,strchr,0,0,0
4,strcmp,0,0,0
4,strcpy,0,0,0
4,strlen,0,0,0
4,strncmp,0,0,0
4,strncpy,0,0,0
4,strrchr,0,0,0
4,strstr,0,0,0
4,tolower,0,0,0
4,toupper,0,0,0
4,write,0,0,0
5,AudioCmn_InitThunder__Fv,0,1,0
5,CdReadyCallback,0,1,0
5,CdSetDebug,0,1,0
5,CdSyncCallback,0,1,0
5,DsReadyCallback,0,1,0
5,Font_ExitFromGame__Fv,0,1,0
5,Font_ReSetBlitter__Fv,0,1,0
5,GetStatus__10AnimScript,0,0,0
5,IsEnabled__10tPMenuItem,0,0,0
5,MemCardCallback,0,1,0
5,Platform_ResetDCTBuffer__Fv,0,1,0
5,Scene_Init__Fi,0,1,0
5,SetVideoMode,0,1,0
5,SimQueue_CleanUp__Fv,0,1,0
5,Skidmark_RestartSkidmark__Fv,0,1,0
5,TextureProcess_Init__Fv,0,1,0
5,Value__14tPListIterator7tPlayer,0,0,0
5,VectorNormalS,0,0,0
5,funcEvSpError,0,1,0
5,funcEvSpErrorx,0,1,0
5,funcEvSpIOE,0,1,0
5,funcEvSpIOEx,0,1,0
5,funcEvSpNewcard,0,1,0
5,funcEvSpNewcardx,0,1,0
5,funcEvSpTimeout,0,1,0
5,funcEvSpTimeoutx,0,1,0
5,func_800E41FC,0,0,0
5,func_800E6E94,0,0,0
5,func_800EF26C,0,1,0
5,func_80100710,0,0,0
5,func_80105EAC,0,0,0
5,iSNDpacketplayoverhead,0,0,0
5,iSPCH_InitBanks,0,1,0
5,inittextdraw,0,1,0
5,iscurrentthread,0,1,0
5,savegp,0,1,0
6,GetCarBank__Q26Speech13MobileSpeakeri,0,1,0
6,GetFilterLength,0,1,0
6,GetFilterPriority,0,1,0
6,Hud_BTC_BonusTime__Fl,0,1,0
6,Hud_Perp_OverlayOff__Fi,0,1,0
6,Platform_GetDCTBuffer__FiPc,0,1,0
6,SetIntrMask,0,1,0
6,_96_remove,0,0,0
6,_SN_read,0,0,0
6,_SN_write,0,0,0
6,__12AIState_BaseP8Car_tObj,0,1,0
6,func_800EEA64,0,1,0
6,func_800F8E2C,0,1,0
6,func_80100748,0,0,0
6,func_8010B10C,0,0,0
6,func_8010B140,0,0,0
6,iSPCH_InitInGame,0,1,0
6,puts,0,0,0
7,AIScript_GetReactionTicksLeft__FP10AIScript_t,0,0,0
7,Anim_GetAnim__Fi,0,1,0
7,CD_Stopread,0,1,0
7,GetCarBank__Q26Speech15DispatchSpeakeri,0,1,0
7,Souffle_RestartTrackSouffle__Fv,0,1,0
7,__10tPMenuItemUi,0,1,0
7,__14tPListIteratorPsPi,0,1,0
7,func_800E6EA8,0,0,0
7,func_800EE9C8,0,1,0
7,func_80100760,0,0,0
7,func_80105C5C,0,0,0
7,func_8010B124,0,0,0
7,iSNDstreamgetstreamptr,0,1,0
7,stup0,1,0,1
8,AIHigh_Restart1__Fv,1,0,0
8,AILife_IsCarInAnyVisibleArea__FP8Car_tObj,1,0,0
8,AISpeeds_CalcHumanTopSpeed__FP8Car_tObj,1,0,0
8,AIState_Restart__Fv,1,0,0
8,AIState_StartUp__Fv,1,0,0
8,AudioClc_SilenceOpponentHorn__Fi,1,0,0
8,AudioCmn_PlayFESFX__Fi,1,0,0
8,BWorldSm_FindClosestQuadMaxIterations__FP8coorddefP12BWorldSm_Posi,1,0,0
8,BWorldSm_Restart__Fv,1,0,0
8,BWorld_DeInitContexts__Fv,1,0,0
8,Cars_CalculateRoadPosition__FP8Car_tObj,1,0,0
8,CdDataSync,1,0,0
8,CdFlush,1,0,0
8,CdGetSector,1,0,0
8,CdGetSector2,1,0,0
8,CdReady,1,0,0
8,CdSync,1,0,0
8,CopSpeak_Debug__Fv,1,0,0
8,CopSpeak_Stop__Fv,1,0,0
8,DashHUD_KillHUD__Fv,1,0,0
8,DecDCTout,1,0,0
8,DrawC_ReadeMapData__Fv,1,0,0
8,FeignAlloc__9SimpleMemi,1,0,0
8,Font_TextTint__Fi,0,1,0
8,GetRezIndex__Fi,0,1,0
8,HandleCops__15AIHigh_BTC_Perp,1,0,0
8,Loading_GetInitialMemory__Fv,1,1,0
8,MemCardEnd,1,0,0
8,PCcreat,0,0,0
8,PCopen,0,0,0
8,PadStartCom,1,0,0
8,PadStopCom,1,0,0
8,R3DCar_InsertCarFacetZ__FP8Car_tObjP13DRender_tView,1,0,0
8,RPause_StartPauseMenu__Fv,1,0,0
8,Render_InitLibRender__Fv,1,0,0
8,Render_InitPauseMenu__Fv,1,0,0
8,Render_KillPauseMenu__Fv,1,0,0
8,Render_StopFrameRender__Fv,1,0,0
8,Render_StopRenderingWorldView__Fi,1,0,0
8,Replay_StoringReplay__Fv,1,1,0
8,SNDSTRM_queuefile,1,0,0
8,SNDbankremove,1,0,0
8,SPCH_ResolveData,1,0,0
8,Scene_DeInit__Fv,1,0,0
8,Sched_CleanUpSchedule__FP15Sched_tSchedule,1,0,0
8,SetDelayedStatus__6SpeechPQ26Speech7Speakeri,0,1,0
8,SetFarColor,0,0,0
8,Speech_HandleRequest__Fllll,1,0,0
8,Speech_PurgeRAM__FPc,1,0,0
8,StSetMask,0,1,0
8,TextSys_WordFlags__Fi,0,1,0
8,TextSys_WordX__Fi,0,1,0
8,TextSys_WordY__Fi,0,1,0
8,TextSys_Word__Fi,0,1,0
8,___10AIHigh_Cop,1,0,0
8,___14AIHigh_BTC_Cop,1,0,0
8,___14AIHigh_Traffic,1,0,0
8,___18AIHigh_BTC_Wingman,1,0,0
8,___19AIHigh_BTC_HumanCop,1,0,0
8,___23AIDataRecord_AccTable_t,1,0,0
8,__builtin_delete,1,0,0
8,__builtin_vec_delete,1,0,0
8,_card_close,1,0,0
8,asyncloadfile,1,0,0
8,asyncloadfileat,1,0,0
8,asyncloadsegment,1,0,0
8,func_8005B468,1,0,0
8,func_8005CB4C,1,0,0
8,func_8006D514,1,0,0
8,func_8006D534,1,0,0
8,func_8006D554,1,0,0
8,func_8006D574,1,0,0
8,func_800EE878,0,1,0
8,func_800F5234,0,0,0
8,func_800F9360,1,0,0
8,func_800FA344,1,0,0
8,func_80105EC0,0,0,0
8,func_80105EE0,0,0,0
8,func_80105F00,0,0,0
8,func_80105F20,0,0,0
8,geti,0,0,0
8,iSNDmeminit,0,1,0
